"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",0.190670323858195,0.850948790406874,10,10,1.06132850168386,1.16558513471713
"U87.001712",-0.164698502206944,0.871227052812389,10,10,0.955075185772116,1.01142902387056
"Y1.001727",0.586443906770856,0.565310003728678,10,10,1.39316305743383,0.897515265273435
"mmu.let.7b.000378",0.710053465385065,0.488708944658565,10,10,1.22218616490653,1.16393152305602
"mmu.let.7c.000379",1.4775048381401,0.163484275209662,10,10,1.39718455831293,1.29892450633096
"mmu.let.7d.002283",-0.137319612893277,0.892317355230809,10,10,0.968981417357196,0.926550993363195
"mmu.let.7e.002406",1.59983411359106,0.134971578752616,10,10,1.83803643958893,1.99234416372055
"mmu.let.7g.002282",1.19631207805749,0.24757193356312,10,10,1.37208186379657,1.52452296563493
"mmu.let.7i.002221",0.911727639796522,0.37498126628448,10,9,1.21028295907444,1.25970385590115
"mmu.miR.100.000437",-2.01058264251296,0.0828644665370975,9,8,0.190884668981091,0.400816489333434
"mmu.miR.101a.002253",-0.149840800492522,0.882822163818034,10,9,0.969985804387546,0.828731233256888
"mmu.miR.103.000439",0.621083178102644,0.547168304109912,8,9,1.28813403995456,1.19197285786521
"mmu.miR.106a.002459",-1.50567857098181,0.16487691613434,10,10,0.38693086941623,0.773058064040354
"mmu.miR.106b.000442",0.505210876798803,0.620900163161884,10,10,1.15641592818626,1.15118793999511
"mmu.miR.10a.000387",0.353330380876257,0.728041761011628,10,10,1.06542129481917,1.05054530755788
"mmu.miR.10b.002218",-1.0555052464082,0.327634186640618,5,7,0.394886829899219,1.01484843719071
"mmu.miR.124.001182",-2.88093286550151,0.0410354825053111,5,5,0.250896786214898,0.283172623610332
"mmu.miR.125a.5p.002198",0.824558477827107,0.425323242350048,9,10,1.29939592578696,1.10578012219579
"mmu.miR.125b.5p.000449",1.40794466217207,0.183679706820409,9,6,1.55258588783735,1.26792319847709
"mmu.miR.126.3p.002228",0.593345177984732,0.563789880842577,9,8,1.21780527427054,1.03387144294262
"mmu.miR.128a.002216",-0.788744202171357,0.486654243060602,6,4,0.340705647004295,1.02485747649939
