"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",1.3179596816856,0.21970659701333,10,10,3.4601762657379,2.12931359435307
"U87.001712",-0.232550926570449,0.820064528221345,10,10,0.944938450765152,0.818390392378175
"Y1.001727",0.130948058336058,0.897819075870103,10,10,1.05970646505728,0.639082954227903
"mmu.let.7b.000378",-0.0645678421324197,0.949229808605626,10,10,0.986239003735561,1.09755612289252
"mmu.let.7c.000379",-0.613406082478162,0.54730492745803,10,10,0.910853830921787,0.911077390829881
"mmu.let.7d.002283",-0.443308533484297,0.664562765547651,10,10,0.918115988467291,1.04520201648178
"mmu.let.7e.002406",-0.272254924561746,0.788548155926469,10,10,0.912936424292457,1.05272419574212
"mmu.let.7g.002282",-0.690940690877162,0.498438502875742,10,10,0.851134776635724,0.801053005307208
"mmu.let.7i.002221",-1.49934664080817,0.15310642375535,10,10,0.698766070560865,0.703931822889992
"mmu.miR.100.000437",-2.27645307950591,0.0552752347185323,8,8,0.217048677005843,0.388086681776476
"mmu.miR.101a.002253",0.276461256372964,0.785599964879343,10,9,1.06475591403564,0.991361002832198
"mmu.miR.103.000439",2.0853264335855,0.0617503019110362,10,8,2.3950828459757,2.05576572618619
"mmu.miR.106a.002459",-1.72136491960111,0.118026061730464,10,10,0.341286789811415,0.591392196850858
"mmu.miR.106b.000442",-1.49353531613708,0.152665001126691,10,10,0.720336795676217,0.690339869963477
"mmu.miR.10a.000387",-2.25950224035261,0.0397961922865143,10,10,0.738041685794384,0.752863286633666
"mmu.miR.10b.002218",-2.25669411723982,0.0579037148926891,8,8,0.144282824290179,0.225731887588976
"mmu.miR.124.001182",0.306910459011772,0.76596964720395,5,6,1.1699262091987,1.75649808655402
"mmu.miR.125a.5p.002198",1.56989847220123,0.140045493427052,10,9,2.3670451688764,2.02170479619934
"mmu.miR.125b.5p.000449",0.3465407454436,0.733943587948233,9,10,1.11346497732038,0.771037996482401
"mmu.miR.126.3p.002228",1.05309000867798,0.327297639164405,6,5,1.87023957464369,1.40804099893204
"mmu.miR.128a.002216",-2.13687500483105,0.0679548778823119,6,7,0.343175173288257,0.414062433774034
"mmu.miR.130a.000454",-1.97732136860359,0.0743376706230757,9,8,0.466296437677069,0.441114437341685
"mmu.miR.130b.000456",-1.11538741846425,0.281184233600037,8,10,0.736151056056413,0.65758832751095
"mmu.miR.139.5p.002289",0.708974861564616,0.489589018481758,10,10,1.0958514946215,1.13853939624989
"mmu.miR.140.001187",-0.256969991948298,0.801451486968287,9,9,0.939034712268548,0.883963091883726
"mmu.miR.141.000463",-1.11674496554441,0.279151948601026,10,10,0.854811485972734,0.859740761517277
"mmu.miR.142.3p.000464",0.639093670192552,0.544952628045458,5,6,1.31121044098507,1.27319711509394
"mmu.miR.145.002278",-0.198146237227189,0.846972968619325,7,9,0.908758474868905,0.682028745694322
"mmu.miR.146a.000468",1.7174051190045,0.107477226776119,10,10,1.38191477588581,1.36092004784243
"mmu.miR.146b.001097",0.927808340587507,0.366405386881843,10,10,1.24305897651971,1.25780355062695
"mmu.miR.148a.000470",-0.1097447694373,0.914176114197057,10,10,0.973952520587323,0.810035596539102
"mmu.miR.148b.000471",0.0194060071146473,0.984916756023771,7,8,1.00886002637529,1.93309358667361
"mmu.miR.151.3p.001190",-0.841959233567711,0.421040528617738,9,7,0.716940372926382,0.729743308408447
"mmu.miR.152.000475",0.198047030688107,0.845247171648342,10,10,1.06361800641712,1.08346474628081
"mmu.miR.155.002571",0.667486588925322,0.515162811937933,10,10,1.20573557864484,1.05852196822942
"mmu.miR.15b.000390",0.00238430968937936,0.998129138342526,10,10,1.00032080117932,1.05691211159701
"mmu.miR.16.000391",-0.360770807975941,0.722470750542634,10,10,0.948073772520684,0.935533495454341
"mmu.miR.17.002308",0.267502635947398,0.792483015295977,10,10,1.05104232804544,0.983589277734441
"mmu.miR.181a.000480",-0.782867120640572,0.444969623611173,10,10,0.792698012110659,0.816014851180068
"mmu.miR.181c.000482",-0.214587122882288,0.833665364339474,10,10,0.890745615590139,0.53066753869425
"mmu.miR.182.002599",-0.248888159379365,0.80778660300418,10,10,0.96117126553095,1.05879010195314
"mmu.miR.183.002269",-0.162264881342655,0.873038321059891,10,9,0.967997327440229,0.925082567839356
"mmu.miR.186.002285",0.673584604758305,0.510222283349069,10,10,1.21113302578673,1.29850458950277
"mmu.miR.188.5p.002320",-2.23165285458297,0.0460678527296927,9,9,0.46127952912531,0.455813538288082
"mmu.miR.18a.002422",-1.38590950087898,0.184006675696289,10,9,0.7533707614312,0.696337785239058
"mmu.miR.191.002299",1.17697534171657,0.265404529973157,10,10,1.47283224471555,1.25530950400885
"mmu.miR.192.000491",-0.0567858831474253,0.955348726962331,10,10,0.991875516270926,1.00118182973009
"mmu.miR.193b.002467",0.0362951987044042,0.97152661693132,10,10,1.00612668981798,0.952043774056847
"mmu.miR.194.000493",-1.1710691709859,0.262203084430695,10,10,0.857552171638652,0.881163543878528
"mmu.miR.195.000494",-0.886018888712763,0.387531605434447,10,10,0.883776130641488,0.886670949255592
"mmu.miR.196b.002215",1.42550426221117,0.173667579782132,10,10,1.40642873389703,1.38840533409079
"mmu.miR.19a.000395",0.992477070293774,0.338239111734329,10,10,1.25752000844858,1.15262795324971
"mmu.miR.19b.000396",-0.489826349707353,0.630220236041854,10,10,0.934039380160648,0.923543175125734
"mmu.miR.200a.000502",0.490836799647928,0.629546365875542,10,10,1.06527223591276,1.066490351051
"mmu.miR.200b.002251",-0.812599020678577,0.427887929507556,10,10,0.867620268093392,0.968842402821421
"mmu.miR.200c.002300",0.566413052478088,0.579984717717163,10,10,1.14884278529448,1.07676738223765
"mmu.miR.203.000507",-0.793911789937281,0.437743696129647,10,10,0.913382181331075,0.916563101731849
"mmu.miR.205.000509",-0.146381648837679,0.885308218601612,10,10,0.96821403933948,0.97395080931175
"mmu.miR.20a.000580",-0.294603187728551,0.772087945469818,10,10,0.965072286470849,0.986450807432236
"mmu.miR.20b.001014",1.58517534612611,0.132846123398793,10,10,1.48167450090482,1.56226892089331
"mmu.miR.21.000397",-0.931778502832027,0.365966041955847,10,10,0.76829975118018,0.829953039499336
"mmu.miR.215.001200",-1.21824947693552,0.251443040019476,10,10,0.686724567183197,0.782920819370929
"mmu.miR.218.000521",-0.177696532270703,0.861051294589705,10,10,0.970855917497141,0.993540314254469
"mmu.miR.222.002276",1.6833441753575,0.118389910421606,10,10,1.41475626709747,1.27644096321653
"mmu.miR.224.002553",-1.05971281651571,0.309744943943485,10,9,0.75957167701338,0.873930999581616
"mmu.miR.23b.000400",-0.076970953051178,0.93978789836144,10,10,0.979326770402887,1.14102999114054
"mmu.miR.24.000402",1.09839316680455,0.286610677857767,10,10,1.13464544183128,1.13386840487223
"mmu.miR.25.000403",0.427105655683454,0.676788653032159,10,10,1.17816984736075,0.922609666396821
"mmu.miR.26a.000405",-1.45909890678876,0.162037249712189,10,10,0.845037489693419,0.841584309895131
"mmu.miR.26b.000407",-0.720432381569161,0.480566502124984,10,10,0.885860083537305,0.850082881368697
"mmu.miR.27a.000408",-1.4757192134212,0.158589674312792,9,10,0.615674156355378,0.5667506286825
"mmu.miR.27b.000409",-0.717377862415937,0.484157610092873,10,10,0.876393575306617,0.791177669700295
"mmu.miR.28.000411",1.35416421678728,0.195648411976587,10,9,1.53948511249895,1.49520513228536
"mmu.miR.29a.002112",0.58306176687428,0.571839952868269,10,10,2.54552199975387,0.480619974542037
"mmu.miR.29b.000413",0.209495063155658,0.837125037201822,8,8,1.08452099981565,1.11002199745178
"mmu.miR.29c.000587",-2.09569699519761,0.0536001550632627,10,10,0.714084100054672,0.738675131244769
"mmu.miR.301a.000528",0.0154598076620543,0.987903364380063,10,10,1.00248040371541,1.09149446389791
"mmu.miR.301b.002600",0.89140614189646,0.388869813457636,10,10,1.19543457161176,1.08439112657096
"mmu.miR.30a.000417",-3.21140271171015,0.00629327609464815,10,10,0.644542441868795,0.652099633098771
"mmu.miR.30b.000602",-0.11859249839862,0.907249220254781,10,10,0.982150751048373,0.95427885655218
"mmu.miR.30c.000419",-0.479551586623248,0.637628108410219,10,10,0.952529523472525,0.94072301983804
"mmu.miR.30d.000420",-0.0286219484041808,0.977563021575521,10,10,0.993938678127089,0.906148819627135
"mmu.miR.30e.002223",-0.13671782336607,0.892878565653301,10,10,0.970651364014589,0.905014375129257
"mmu.miR.31.000185",-0.765995553475937,0.460443637727953,10,10,0.667402445310953,0.877476755020207
"mmu.miR.320.002277",0.792973797777153,0.439710441173822,10,10,1.23405193884676,1.54468612136048
"mmu.miR.322.001076",0.191902755709062,0.852047915463904,6,6,1.12308184550014,1.44034106396072
"mmu.miR.324.5p.000539",-1.79873600993699,0.140154739808723,4,5,0.269891467597615,0.282813044126465
"mmu.miR.328.000543",-0.73243446818783,0.477378857937262,10,10,0.883085463307842,0.80580782118096
"mmu.miR.331.3p.000545",0.05398705961461,0.957712769740515,10,10,1.01108968803261,1.21166704536676
"mmu.miR.340.3p.002259",0.0465941057426507,0.963450807489747,10,10,1.01119791478488,1.10597196505366
"mmu.miR.340.5p.002258",-0.913698257123696,0.37751576184489,6,10,0.675923492598792,0.811735059892523
"mmu.miR.342.3p.002260",0.71284157916312,0.492006176694998,10,10,1.41590224205918,1.02569430167914
"mmu.miR.34b.3p.002618",1.260692845558,0.261742088163206,5,8,2.45134680550479,3.0292665565349
"mmu.miR.365.001020",0.0463575825986273,0.963539727670739,10,10,1.01175721175372,1.07932220872296
"mmu.miR.375.000564",0.246262476682425,0.808265491984673,10,10,1.0378632054538,1.06483707852596
"mmu.miR.423.5p.002340",-0.0255414032580469,0.980448869749369,7,5,0.986060034835523,1.07774822489201
"mmu.miR.429.001077",0.720005117325657,0.487489906541445,7,8,1.24157060541927,1.33599699787102
"mmu.miR.484.001821",1.32657283744102,0.208949504819439,10,10,1.64591215597791,1.48388091119844
"mmu.miR.532.3p.002355",1.71017775386504,0.116171732167081,10,10,1.98221334926246,1.29401667927878
"mmu.miR.532.5p.001518",-1.12888104478406,0.277811619783361,10,10,0.607028249631909,0.546529698915244
"mmu.miR.574.3p.002349",0.790503247794749,0.442596035150593,10,10,1.30702147078465,1.28396859146621
"mmu.miR.652.002352",-0.232847791953563,0.819984977607743,9,10,0.909866887589353,1.39861332377823
"mmu.miR.671.3p.002322",0.939639387946406,0.36638440964341,8,7,1.51716406101375,2.13550516707276
"mmu.miR.744.002324",-0.112544973320893,0.91199888779314,10,10,0.96946254476758,1.39677632843027
"mmu.miR.7b.002555",-0.0893071235892693,0.929922795519546,10,9,0.962417084223674,0.738450159701103
"mmu.miR.872.002264",-0.464295005651095,0.64958868921693,10,10,0.772832142943216,5.12959851594699
"mmu.miR.92a.000430",1.55013862871602,0.143093549576308,10,10,1.23437269980963,1.20035664162394
"mmu.miR.93.001090",1.10363834670545,0.290371605557614,10,10,1.30859194333852,1.24443391018568
"mmu.miR.99a.000435",-1.21720908010736,0.244922594823569,9,8,0.661365389379785,0.601643513327032
"mmu.miR.99b.000436",1.03893650717781,0.31325608815243,10,10,1.30806811104723,1.68598246543877
"rno.miR.190b.002048",-0.614367313487941,0.552130662996586,10,10,0.747172331825569,1.23348264156483
"rno.miR.196c.002049",1.52474353701542,0.144737522229597,10,10,1.28937834200984,1.44343527130232
"rno.miR.224.000599",-0.742741381311552,0.467235895434687,10,10,0.824892123413698,0.766993422444688
"rno.miR.345.3p.002061",1.68480385868139,0.114878510621602,10,7,1.66486904181239,1.7772169014699
"snoRNA135.001230",-0.566348765129609,0.579778552019861,10,10,0.88985360429512,0.819964191786269
"snoRNA202.001232",0.69854642305376,0.498845601931842,10,10,1.20945972769973,1.0077553995
