"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",-0.463022916040239,0.649636053875901,10,10,0.892571163163166,0.830419680708708
"U87.001712",-0.533703778953523,0.601080838511044,10,10,0.920473672792985,0.941452469631179
"Y1.001727",1.73334787432967,0.100851776883015,10,10,1.54410441127081,1.62970920982265
"mmu.let.7b.000378",1.01087291520205,0.327422361211469,10,10,1.16141131749866,1.14756467637587
"mmu.let.7c.000379",1.51017288533672,0.148362836463806,10,10,1.19174845657708,1.19895803673477
"mmu.let.7d.002283",2.0444280435328,0.0622874965005469,10,10,1.31920549427446,1.27385367322907
"mmu.let.7e.002406",2.98507505006295,0.0105155833652474,10,10,1.96525637443542,1.90283855945487
"mmu.let.7g.002282",1.88022150215092,0.0778556238862554,10,10,1.36168080343881,1.42722467761995
"mmu.let.7i.002221",2.22991293050037,0.040726197864894,10,10,1.45406288104862,1.50993386976693
"mmu.miR.100.000437",-1.3533520769759,0.212244758482192,10,9,0.230067760617856,0.706628626666665
"mmu.miR.101a.002253",2.15793749437472,0.0492830764212381,10,10,1.51762893507286,1.42402400419398
"mmu.miR.103.000439",0.445995291452565,0.661062933191641,10,10,1.12690227314636,1.18694835651695
"mmu.miR.106a.002459",-1.90186931012862,0.0887718148372078,10,10,0.339893918561351,0.503684753183425
"mmu.miR.106b.000442",1.60634567738753,0.129251189917919,10,10,1.2880760584709,1.24864777002672
"mmu.miR.10a.000387",-3.00309427651824,0.00885827071181955,10,10,0.623087582326844,0.612659362291345
"mmu.miR.10b.002218",-0.706451561516568,0.49089424560907,8,9,0.660548630643086,0.742206403241817
"mmu.miR.124.001182",-1.28091428359804,0.238199662152474,8,8,0.46169007015787,0.762079659767787
"mmu.miR.125a.5p.002198",-1.68719854043552,0.112791072308439,10,10,0.676319468273461,0.700362609637488
"mmu.miR.125b.5p.000449",-0.68212625551322,0.504262442397347,10,10,0.814910753033294,0.746071115626605
"mmu.miR.126.3p.002228",-1.95270396639841,0.0785869940227662,9,8,0.533238198302721,0.51677284139242
"mmu.miR.128a.002216",-1.50846610809993,0.191313439129526,9,6,0.158802173592297,0.252540793497622
"mmu.miR.130a.000454",-0.957810282812376,0.357966381267946,9,9,0.636336400807773,0.738315924825383
"mmu.miR.130b.000456",-1.18753984014301,0.255848046642925,10,10,0.80064733027403,0.629122239125035
"mmu.miR.139.5p.002289",0.658296131801584,0.518694168346455,10,10,1.09514099560043,1.11125211556646
"mmu.miR.140.001187",0.708238049174925,0.489155048551999,10,10,1.10046735208864,1.0595181232989
"mmu.miR.141.000463",0.574715468461928,0.574739742720556,10,10,1.0997477419892,0.959981870631077
"mmu.miR.142.3p.000464",0.684146573415494,0.503749811035868,9,9,1.34004953344663,1.43915874250544
"mmu.miR.145.002278",-0.880216006224721,0.39280654819235,10,9,0.760719725542879,0.744880024835719
"mmu.miR.146a.000468",0.983821361827321,0.339109162476528,10,10,1.26347080687213,1.24160929730225
"mmu.miR.146b.001097",-0.784797203997055,0.442789756686264,10,10,0.878547306681562,0.823411935752568
"mmu.miR.148a.000470",1.28553078217246,0.22131572369725,10,10,1.43799268537973,1.30354967902626
"mmu.miR.148b.000471",1.41583385623918,0.202885332902043,6,7,1.8321124855773,1.57747493785028
"mmu.miR.151.3p.001190",-1.67619892562912,0.114778720250079,9,9,0.653977588681438,0.605144939527546
"mmu.miR.152.000475",1.86197358093421,0.0828741926111674,10,10,1.36715108251098,1.31266890046308
"mmu.miR.155.002571",-1.1750687555254,0.25633132295709,10,9,0.601548125041895,0.270306566931681
"mmu.miR.15b.000390",1.14349214057158,0.277623235272206,10,10,1.14543783943935,1.08586079585875
"mmu.miR.16.000391",-0.300547239511184,0.767205982524151,10,10,0.950399512516672,1.0073470229414
"mmu.miR.17.002308",-0.58164962746132,0.568147180426285,10,10,0.914568184163901,0.912366490754338
"mmu.miR.181a.000480",1.48321166314585,0.160972131887822,10,10,1.47088779707399,1.35409697860704
"mmu.miR.181c.000482",0.397269220811365,0.695880667636089,10,10,1.14196093875805,1.09563692754557
"mmu.miR.182.002599",-0.372567824589851,0.714067560721153,10,10,0.95719039329738,0.940467481483802
"mmu.miR.183.002269",0.938879025951746,0.361069056637652,10,9,1.22935654733587,1.26417018458203
"mmu.miR.186.002285",-0.541777969541619,0.594799384947251,10,10,0.890730367854485,0.878587491700003
"mmu.miR.188.5p.002320",-0.799930436719891,0.43433830482981,10,10,0.822322486692315,0.809251795572629
"mmu.miR.18a.002422",2.0243305812293,0.0704411377840268,9,10,1.84310425475177,1.61516472546416
"mmu.miR.191.002299",-2.03078422569375,0.0617244728284928,10,10,0.761159797434047,0.782612449710765
"mmu.miR.192.000491",-0.7397084685116,0.469018548129269,10,10,0.877877633491308,0.840901582827174
"mmu.miR.193b.002467",-2.14900895951878,0.0510671628681104,10,10,0.653567598171209,0.665726759513262
