"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",-0.675685390284936,0.528608098258417,5,5,0.731786987379548,0.906720752561328
"U87.001712",-0.680256748852715,0.521484522715011,5,5,0.738836889996775,0.865308938345649
"Y1.001727",0.200762537559956,0.846379307361788,5,5,1.13894120234163,1.00304658172122
"mmu.let.7b.000378",1.36294654118917,0.222500246915519,5,5,1.52892696922961,1.48114266605469
"mmu.let.7c.000379",1.58782816527968,0.16526415114411,5,5,1.62881003392605,1.5674988779859
"mmu.let.7d.002283",0.336386309098658,0.745233461372016,5,5,1.10092553528113,1.11332562240162
"mmu.let.7e.002406",2.07639482012726,0.0961342765751068,5,5,2.59452544328774,2.41321860528583
"mmu.let.7g.002282",2.21622942069876,0.0712043805493289,5,5,2.04485344177074,2.03002994767049
"mmu.let.7i.002221",0.924662346296317,0.382287148762532,5,5,1.37506736501753,1.4621750198027
"mmu.miR.100.000437",-0.683883561972399,0.536275222675584,5,4,0.479810006160347,0.876976803140802
"mmu.miR.101a.002253",-0.519496404852767,0.618784429182114,5,5,0.815584918944673,0.635515145418017
"mmu.miR.103.000439",0.90926358255135,0.396456483027353,5,5,1.76066644032422,1.79086552884805
"mmu.miR.106a.002459",1.28888498773348,0.233469630933486,5,5,1.40499949407952,1.50635792656782
"mmu.miR.106b.000442",1.39230275339665,0.215691851651188,5,5,1.64024064582091,1.54113945012547
"mmu.miR.10a.000387",1.10661714298398,0.30068660973333,5,5,1.31714530067481,1.32293191056419
"mmu.miR.10b.002218",1.22706118742154,0.334637689007195,3,3,3.89891763600452,3.31292532720269
"mmu.miR.124.001182",-2.81113621828912,0.189652992457275,3,2,0.325074265942051,0.319949617640308
"mmu.miR.125a.5p.002198",0.480507034485178,0.644130628459519,5,5,1.23633735919247,1.13662441381697
"mmu.miR.125b.5p.000449",2.14108651926458,0.0875048982597269,5,2,3.26394285004958,2.21419171830217
"mmu.miR.126.3p.002228",-0.265469574153379,0.799714695156575,5,5,0.899247268435077,0.689430872320347
"mmu.miR.128a.002216",NA,NA,NA,NA,NA,NA
"mmu.miR.130a.000454",0.283562000568028,0.795786682642658,5,3,1.21954288518907,1.39577521956576
"mmu.miR.130b.000456",-0.408734062610449,0.693996878987214,5,5,0.872206936621016,0.886812008237515
"mmu.miR.139.5p.002289",1.34674193499864,0.220265270634723,5,5,1.33829462031944,1.32043017221632
"mmu.miR.140.001187",1.02421846068347,0.340838044586355,5,5,1.37717436546953,2.04343876141572
"mmu.miR.141.000463",0.350509296240942,0.736427923561647,5,5,1.09365195063078,1.1923462200834
"mmu.miR.142.3p.000464",-0.535510194862975,0.615270646326681,3,4,0.756744878395641,0.779234895313832
"mmu.miR.145.002278",-1.63086054187828,0.179478788637263,4,2,0.456496715693933,0.254182644848918
"mmu.miR.146a.000468",1.03625151626192,0.33300072826736,5,5,1.30323899866811,1.34728961749948
"mmu.miR.146b.001097",0.595505039764927,0.567968360876217,5,5,1.11378391970299,1.12322691403819
"mmu.miR.148a.000470",0.253942535564614,0.806041412553515,5,5,1.11874060164175,1.17765700307639
"mmu.miR.148b.000471",NA,NA,NA,NA,NA,NA
"mmu.miR.151.3p.001190",-1.21957650305882,0.328086781870936,5,3,0.483325747547193,0.560349048283171
"mmu.miR.152.000475",0.999810815188448,0.34760079624563,5,5,1.41335044520647,1.76141323363135
"mmu.miR.155.002571",-0.0679503618345442,0.948074577191057,4,4,0.966095741098159,0.863546561346194
"mmu.miR.15b.000390",0.663111791695402,0.527573017979952,5,5,1.21635355229362,1.34928715059451
"mmu.miR.16.000391",1.90549071540545,0.103970715150568,5,5,1.48388134428072,1.45376130484446
"mmu.miR.17.002308",0.852155739438562,0.419105461822167,5,5,1.15224382051998,1.15680765973962
"mmu.miR.181a.000480",-0.533602829846543,0.609619335298796,5,5,0.834288407502726,0.871227144372549
"mmu.miR.181c.000482",0.196732163780052,0.849217819716828,5,5,1.11046665877956,1.15792366569987
"mmu.miR.182.002599",1.03073065457409,0.340017868182831,5,5,1.2335101667051,1.34929014327365
"mmu.miR.183.002269",1.87458343844976,0.0980190073717298,5,5,1.93852581233158,3.18444996288441
"mmu.miR.186.002285",-0.564689339488325,0.597293640898313,5,5,0.857283654713065,0.584445260464077
"mmu.miR.188.5p.002320",-1.40001199698306,0.229331261556266,5,5,0.500019537047606,0.585856244860952
"mmu.miR.18a.002422",1.09725479325492,0.332282558206123,5,3,1.76086616180483,2.37174787239165
"mmu.miR.191.002299",0.805553123449723,0.443790466820876,5,5,1.17225636328421,1.17892914246146
"mmu.miR.192.000491",0.705410602838322,0.509120130700924,5,5,1.1298207341834,1.08881059463498
"mmu.miR.193b.002467",0.127893885996328,0.90140108557999,5,5,1.04290379351414,1.21023113844874
"mmu.miR.194.000493",0.360287796907472,0.727960007470777,5,5,1.08167004875957,1.07917887294858
"mmu.miR.195.000494",2.53131846704525,0.0359086242795948,5,5,1.22866475528034,1.22922465595779
"mmu.miR.196b.002215",1.45594291721119,0.189813468759283,5,5,1.45706339593512,1.46162175277051
"mmu.miR.19a.000395",3.14971876232581,0.0141572728206008,5,5,1.61846397261459,1.67252712688338
"mmu.miR.19b.000396",5.57034039346979,0.000592773125381878,5,5,1.56283345711883,1.56902224893387
"mmu.miR.200a.000502",0.547193922579827,0.606760254093111,5,5,1.12478306427226,1.20739054614172
"mmu.miR.200b.002251",2.3821865294895,0.0548232923946952,5,5,1.82166924231588,1.81463049706358
"mmu.miR.200c.002300",1.78956000625069,0.131723732299515,5,5,1.82636115787783,1.7141239196207
"mmu.miR.203.000507",3.60911541663674,0.0128865006131688,5,5,1.56107560214772,1.54689729146666
"mmu.miR.205.000509",0.800412165766232,0.449812436238351,5,4,1.35670448966131,1.15574176924525
"mmu.miR.20a.000580",4.05243577839154,0.00521322797754813,5,5,1.83303183447467,1.84388286546168
"mmu.miR.20b.001014",1.37203179710933,0.2313008404305,5,5,1.64085877480597,2.38170843247541
"mmu.miR.21.000397",2.29836675711187,0.0528119191907073,5,5,2.06173704278669,2.33430877704829
"mmu.miR.215.001200",-0.962081353871876,0.364875494074546,5,5,0.818880197205483,0.820370779013853
"mmu.miR.218.000521",1.29528547126387,0.248813505559237,5,5,1.43314321259291,1.35719894162047
