"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",1.74964317772808,0.128122508564605,5,5,1.65983950953553,1.65952590516448
"U87.001712",-3.03063854532581,0.0197089950579254,5,5,0.570880973994744,0.569657547103969
"Y1.001727",-0.126609681773305,0.903216486521809,5,5,0.929332990350125,0.520650804292222
"mmu.let.7b.000378",-0.253885419459445,0.806207942420521,5,5,0.912562717165071,1.20217639663094
"mmu.let.7c.000379",-0.756895296699028,0.471300656047739,5,5,0.867440696187274,0.869422417355605
"mmu.let.7d.002283",-0.635775558075774,0.555452409794063,5,5,0.817888731565578,1.0295044028651
"mmu.let.7e.002406",-0.844269309474693,0.437661214255298,5,5,0.691196466630406,1.18556026416003
"mmu.let.7g.002282",-1.05336854057517,0.335068574426175,5,5,0.757500885821608,0.795347698623463
"mmu.let.7i.002221",-0.616306491165799,0.555523773577909,5,5,0.788032124962767,0.855485554909984
"mmu.miR.100.000437",-0.799793700534802,0.48992493983286,4,3,0.528463990705373,0.934021125542724
"mmu.miR.101a.002253",0.675546126124437,0.521663682905045,5,4,1.23730051914322,1.21122439708315
"mmu.miR.103.000439",1.2908569407968,0.247222221733917,5,4,1.54794228360441,1.4548712327536
"mmu.miR.106a.002459",0.197505553422075,0.848431389619541,5,5,1.06974862828882,1.04370413452695
"mmu.miR.106b.000442",-0.932511673850577,0.381266476583615,5,5,0.723173559678523,0.736037410185267
"mmu.miR.10a.000387",-1.99737846556622,0.0869433489911737,5,5,0.674075114121424,0.676508609678673
"mmu.miR.10b.002218",-1.14770656963732,0.367657772230783,4,3,0.179174381912921,0.248882433419622
"mmu.miR.124.001182",1.56430139831802,0.232205514788757,3,3,3.28581997536286,3.6394064689092
"mmu.miR.125a.5p.002198",1.34627656671822,0.24783751336991,5,4,4.35933879957287,1.75957223910879
"mmu.miR.125b.5p.000449",-0.203960545600818,0.846899188028845,4,5,0.915101178045181,0.674929996176916
"mmu.miR.126.3p.002228",0.68697492539704,0.541841922821002,3,2,1.82604403591626,1.45532013630127
"mmu.miR.128a.002216",-0.524014171174027,0.625957984972538,3,4,0.693274042206704,0.999609388822619
"mmu.miR.130a.000454",-1.8849236945492,0.129625725988576,5,4,0.365412914832582,0.323634734798055
"mmu.miR.130b.000456",-1.33147064349947,0.229341579768162,5,5,0.61771344806637,0.589257612919957
"mmu.miR.139.5p.002289",0.232562001342373,0.823303359711585,5,5,1.05803167407916,1.11488584674327
"mmu.miR.140.001187",0.164819202989355,0.874224636607704,5,4,1.06978277606807,0.984487691153525
"mmu.miR.141.000463",-0.954913542366724,0.370637436632214,5,5,0.832277577494921,0.855292622110206
"mmu.miR.142.3p.000464",-0.619728889278403,0.599716001650881,3,2,0.725371267708939,0.680725655151263
"mmu.miR.145.002278",-0.0502713769874445,0.961768760345653,4,4,0.967445800192937,0.640463238806004
"mmu.miR.146a.000468",0.819031132315762,0.449184834693741,5,5,1.24408514706227,1.17872681986699
"mmu.miR.146b.001097",0.319489090549855,0.757746175434643,5,5,1.13428747858264,1.16306006133393
"mmu.miR.148a.000470",0.18874969192345,0.855311110053342,5,5,1.05974780642442,1.02038316366675
"mmu.miR.148b.000471",2.58537357669948,0.0809449945293846,2,4,2.29418915655191,5.16871020803932
"mmu.miR.151.3p.001190",-0.821822622133451,0.446488770218674,5,3,0.765879919004735,0.699736888581088
"mmu.miR.152.000475",1.76058013248709,0.137245320764237,5,5,1.99980913741871,1.8651041550623
"mmu.miR.155.002571",1.07572361990937,0.327870060383722,5,5,1.69078706103521,1.48177068808122
"mmu.miR.15b.000390",-0.0461611260547239,0.964838423769042,5,5,0.990541767704231,1.07894356102679
"mmu.miR.16.000391",-0.347210882837615,0.737412835825354,5,5,0.904185183656012,0.89006512183289
"mmu.miR.17.002308",-0.0678149491379853,0.947883095796423,5,5,0.976951517363618,0.877424806631866
"mmu.miR.181a.000480",-1.25590925917972,0.264523642771218,5,5,0.805276817089148,0.830222306503492
"mmu.miR.181c.000482",-1.72301927267864,0.130834044211066,5,5,0.492720763030483,0.447172203631788
"mmu.miR.182.002599",1.04093515515817,0.346376763403725,5,5,1.21351197240513,1.348577282322
"mmu.miR.183.002269",-1.83984709270821,0.123308741154663,5,4,0.692876745483804,0.635978595821038
"mmu.miR.186.002285",0.269944256801988,0.794963531992224,5,5,1.13119199300249,1.12199045257258
"mmu.miR.188.5p.002320",-1.32506393913584,0.238854720519482,5,5,0.505489393059047,0.540927218673005
