"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",0.0426863709169623,0.967241245402981,5,5,1.01528983506317,0.940961889621282
"U87.001712",1.62002933688713,0.168337211323004,5,5,1.31128205165686,1.39847954107325
"Y1.001727",1.35698930566723,0.21183005704322,5,5,1.70611657005741,1.95818592084837
"mmu.let.7b.000378",2.06510018437409,0.078171471733423,5,5,1.53362817049182,1.55848227616627
"mmu.let.7c.000379",3.06183105190417,0.0207367896222386,5,5,1.51695351992441,1.57275172848573
"mmu.let.7d.002283",3.25960594023568,0.0249175200410526,5,5,1.722422267637,1.68970026195811
"mmu.let.7e.002406",4.68960200558975,0.00195483116197307,5,5,2.67126025323096,3.12281898994954
"mmu.let.7g.002282",1.70092853820686,0.152382318755602,5,5,1.55475600646166,1.79887101949507
"mmu.let.7i.002221",1.86822600544232,0.105445147315959,5,5,1.73365981722074,1.85401092839346
"mmu.miR.100.000437",0.439961862361154,0.677925906044008,5,4,1.22097027109804,1.70256662223698
"mmu.miR.101a.002253",0.655205205164027,0.538210843576728,5,5,1.26998534559416,1.08357585136319
"mmu.miR.103.000439",0.203257837308883,0.844020133696632,5,5,1.09535516080943,1.1357952215799
"mmu.miR.106a.002459",-0.373029957529287,0.718839798486665,5,5,0.887660398145478,0.812160826547805
"mmu.miR.106b.000442",0.673305359156367,0.522962679414059,5,5,1.2177119578627,1.16011381286772
"mmu.miR.10a.000387",-2.88174843509104,0.0240602745580857,5,5,0.472327159133931,0.449210373077786
"mmu.miR.10b.002218",0.70721741973304,0.544876975814315,3,4,2.09265509088831,1.47475465495383
"mmu.miR.124.001182",0.166452385133484,0.875742710528566,4,4,1.07027843567672,1.6266264488885
"mmu.miR.125a.5p.002198",-1.29805435948724,0.242635561212547,5,5,0.68338114296391,0.735521771844493
"mmu.miR.125b.5p.000449",-0.837792277545844,0.441401200221468,5,5,0.67576124524352,0.791598038384298
"mmu.miR.126.3p.002228",-0.832153059880299,0.44927492175267,4,5,0.722751775152458,0.581324119080739
"mmu.miR.128a.002216",-1.3083384005575,0.265017086892703,4,4,0.500797022379481,0.542869345207495
"mmu.miR.130a.000454",-0.750990367147429,0.485057698694204,4,4,0.630859179024826,0.701040003494014
"mmu.miR.130b.000456",-1.54380797224292,0.174174838581705,5,5,0.624265299129774,0.423791204628105
"mmu.miR.139.5p.002289",1.44626947976448,0.187745838311525,5,5,1.3241228252805,1.34041928452088
"mmu.miR.140.001187",-0.345620682410413,0.741537349089456,5,5,0.939232362372695,0.871382562075848
"mmu.miR.141.000463",-0.094711615572877,0.928201328385589,5,5,0.972731054168487,0.741230292747952
"mmu.miR.142.3p.000464",0.978551842320485,0.361168291856859,4,5,1.83997823607569,3.05199167302128
"mmu.miR.145.002278",0.590040296435686,0.579925395903534,5,4,1.25623178184868,1.03670232224357
"mmu.miR.146a.000468",0.671590136686455,0.521891287722058,5,5,1.23759040009897,1.22024661351843
"mmu.miR.146b.001097",-0.48057629665949,0.649094584876829,5,5,0.882619055801421,0.726503749644251
"mmu.miR.148a.000470",1.25043379588233,0.270260984833418,5,5,1.99179621204283,1.53689792308194
"mmu.miR.148b.000471",1.91593125704611,0.266162203017753,2,4,2.57717299001813,2.89465542139297
"mmu.miR.151.3p.001190",-2.00026859562995,0.0963371856966073,4,4,0.540473781075746,0.442048229062979
"mmu.miR.152.000475",1.70724094951514,0.140291620153548,5,5,1.63544342254013,1.5121266167879
"mmu.miR.155.002571",-1.68955523895048,0.140885517649591,5,5,0.287071355895774,0.151246757532186
"mmu.miR.15b.000390",0.407896337229144,0.700498901007938,5,5,1.09902911213138,1.00865580259468
"mmu.miR.16.000391",-0.491036362954661,0.638306943710004,5,5,0.905899248494668,0.869885696824102
"mmu.miR.17.002308",-0.424858442356908,0.682138544805368,5,5,0.882657161444814,0.851675732685362
"mmu.miR.181a.000480",1.49902482911207,0.199759644714137,5,5,1.89216025913878,1.69841986193895
"mmu.miR.181c.000482",-0.915977444502722,0.394977627102739,5,5,0.670888967819958,0.727385649543932
"mmu.miR.182.002599",-0.0224951354377104,0.982614119082949,5,5,0.99609243026692,0.981906220462499
"mmu.miR.183.002269",-0.125966138309256,0.905797591722796,5,4,0.96092194895652,1.03346407980889
"mmu.miR.186.002285",-1.62531140709026,0.160031887001427,5,5,0.750677695744892,0.771115754183446
"mmu.miR.188.5p.002320",-0.176887615480845,0.864984251208919,5,5,0.958429899180261,0.884229362899691
"mmu.miR.18a.002422",0.0556682691608318,0.95764515663669,4,5,1.02401106369218,0.918579847774958
"mmu.miR.191.002299",-1.6320145026229,0.148346988779499,5,5,0.734971180932732,0.744584736750278
"mmu.miR.192.000491",-0.717461137387165,0.493520860809955,5,5,0.825197327501868,0.747052918953796
"mmu.miR.193b.002467",-1.04044640385349,0.328927236258394,5,5,0.753135873467442,0.710617807372494
"mmu.miR.194.000493",-0.406591116592698,0.695773688079376,5,5,0.913024700610955,0.846832032923986
"mmu.miR.195.000494",-0.226412062586705,0.827372509324196,5,5,0.963262172915846,0.983353845602995
