"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","X_norm_test","y_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",0.0221794346226183,0.982981691832552,15,0.69047619047619,15,15,0.976622529424269,0.245650646047955,1.00618183532721,1.08311523273612
"U87.001712",-0.749080195234972,0.481012615807617,9,0.547619047619048,15,15,0.720055554513985,0.625356242583834,0.85050012998799,0.884207210763349
"Y1.001727",0.58184762246053,0.579462350498819,15,0.69047619047619,15,15,0.0799221104147155,0.791420515255979,1.23904220356126,1.17128270197948
"mmu.let.7b.000378",1.32169404952308,0.2329507729006,17,0.420634920634921,15,15,0.664517595794753,0.424190045065676,1.29219098832716,1.26659716567318
"mmu.let.7c.000379",1.57001048113325,0.157636527482862,21,0.0952380952380952,15,15,0.125714451767566,0.23584332076082,1.29178609900745,1.28855057805331
"mmu.let.7d.002283",1.28232995153854,0.244661966421989,17,0.420634920634921,15,15,0.991348388330815,0.407017585397876,1.17214276306366,1.20354159211271
"mmu.let.7e.002406",4.37978945366677,0.00503201195735175,25,0.00793650793650794,15,15,0.599284487581159,0.453997784882806,1.81538495782908,1.90696187890621
"mmu.let.7g.002282",1.53387556437081,0.163620054203804,19,0.222222222222222,15,15,0.653008561039726,0.207999578265587,1.33230059045039,1.35407572469278
"mmu.let.7i.002221",1.55900186566949,0.17135783706307,19,0.222222222222222,15,15,0.881997300059117,0.0410660462612508,1.29063201091421,1.25823530385561
"mmu.miR.100.000437",-0.916460537137854,0.399593436402984,9,0.547619047619048,14,11,0.400376541950981,0.82578334164733,0.687086486866431,0.82196604520926
"mmu.miR.101a.002253",0.360960268810191,0.727982264028734,13,1,15,14,0.285843681379327,0.144840513358494,1.10095045136088,1.08459923104998
"mmu.miR.103.000439",0.961760120001681,0.367857154717602,19,0.222222222222222,15,14,0.00522224938158805,0.525645286338055,1.50425505524297,1.61157652845428
"mmu.miR.106a.002459",0.355647249963485,0.731464872344609,15,0.69047619047619,15,15,0.692027682764062,0.98271021114529,1.10634073295837,1.09361663797242
"mmu.miR.106b.000442",0.524985665574799,0.615890654152805,13,1,15,15,0.218057868187626,0.152867385017995,1.16118523690967,1.10438986598457
"mmu.miR.10a.000387",-1.49744550977618,0.17951057700863,6,0.222222222222222,15,15,0.545429361454246,0.709867821212602,0.8073096969435,0.780744825509296
"mmu.miR.10b.002218",-0.564938318768633,0.59704870788003,12,0.73015873015873,10,10,0.850444534270365,0.000995441971103675,0.634998739865463,0.871947711797857
"mmu.miR.124.001182",0.0055370366597466,0.995728299403272,13,1,10,9,0.117474317680713,0.426096884604006,1.00175819490724,1.23669936374198
"mmu.miR.125a.5p.002198",0.850519349250179,0.43586512970566,17,0.420634920634921,15,14,0.937731916870205,0.538177507661175,1.31049811377726,1.10767238294527
"mmu.miR.125b.5p.000449",0.265996121568885,0.797676266210231,15,0.69047619047619,14,12,0.967175137829921,0.46460171890337,1.08687380866668,0.976117214588799
"mmu.miR.126.3p.002228",0.184236613508411,0.860819433814586,11,0.841269841269841,12,12,0.165462961064039,0.300501610439417,1.07628739025122,0.893911896367661
"mmu.miR.128a.002216",-1.09933161301669,0.327575878160468,9,0.547619047619048,9,9,0.997521334425414,0.122713648591979,0.593945975360829,0.712728270511878
"mmu.miR.130a.000454",-1.20190554706266,0.288540958809563,11,0.841269841269841,14,11,0.193438211147297,0.278983746286639,0.609520435567436,0.718602347223084
"mmu.miR.130b.000456",-1.46709599005724,0.182371515503388,5,0.150793650793651,15,15,0.277214981241248,0.317052958797107,0.706644167065084,0.703780521569638
"mmu.miR.139.5p.002289",1.83147583850776,0.117914851504891,20,0.150793650793651,15,15,0.713562133264,0.970492485706218,1.24842648143047,1.23153635711006
"mmu.miR.140.001187",0.519986738677112,0.61718089586593,14,0.841269841269841,15,14,0.122013504232104,0.843681134342435,1.08239270977627,1.08893175750307
"mmu.miR.141.000463",-0.141094469585491,0.891838848438891,12,1,15,15,0.472941777152845,0.197523872837284,0.972065552674599,0.929022577503001
"mmu.miR.142.3p.000464",0.911105017062482,0.393540491845258,14,0.412698412698413,10,11,0.953425807784938,0.190904625975252,1.47575625675069,1.7052504342436
"mmu.miR.145.002278",-0.156949215827327,0.879367115459826,12,1,13,10,0.767617798606446,0.221079539964367,0.950294724813384,0.842606535951163
"mmu.miR.146a.000468",0.966777151313353,0.379370141006608,16,0.547619047619048,15,15,0.00606961304094689,0.873510078282529,1.25998019327003,1.19989857792401
"mmu.miR.146b.001097",0.259453444684515,0.801986569632732,13,1,15,15,0.696366747692503,0.902492697370372,1.04431982403622,1.05762280568661
"mmu.miR.148a.000470",0.689795973627837,0.511243109870191,16,0.547619047619048,15,15,0.277782687706329,0.0973768282650424,1.30061142705114,1.23472914166117
"mmu.miR.148b.000471",1.71989756770072,0.126464072060782,20,0.150793650793651,8,9,0.859387960111686,0.73804970387225,1.69843430344932,2.07557673795559
"mmu.miR.151.3p.001190",-2.4727044453574,0.0465655935384037,2,0.0317460317460317,14,10,0.452863526167608,0.189001302293087,0.57935913813283,0.575690151339959
"mmu.miR.152.000475",1.91763478376938,0.107024399329003,20,0.150793650793651,15,15,0.726990772295734,0.473067004248772,1.6542737089365,1.5631013958916
"mmu.miR.155.002571",0.249652857407506,0.814171710380692,9,0.547619047619048,14,14,0.111770331692459,0.0102730042055724,1.08441397603589,0.930975753737281
"mmu.miR.15b.000390",0.607472909722452,0.560489986867172,17,0.420634920634921,15,15,0.826242756119802,0.22468165479092,1.105745131835,1.10147141822908
"mmu.miR.16.000391",0.391932508044658,0.706310191242168,13,1,15,15,0.0692605554630239,0.538312224101111,1.081626721603,1.05081812674416
"mmu.miR.17.002308",0.0625535171461084,0.95181123228181,13,1,15,15,0.662597925749164,0.723244551380569,1.01514794156611,0.978181016400122
"mmu.miR.181a.000480",0.300890409887945,0.771170053947486,14,0.841269841269841,15,15,0.975735152695622,0.757223371853635,1.06980830152902,1.07416924035232
"mmu.miR.181c.000482",-1.09592798579552,0.322634657592046,9,0.547619047619048,15,15,0.504920722228587,0.18033786359297,0.68256068781753,0.738324839058201
"mmu.miR.182.002599",1.10864408377199,0.302364728719831,18,0.30952380952381,15,15,0.927768920211991,0.754370874396657,1.12888265167204,1.14015638319755
"mmu.miR.183.002269",0.704406768199949,0.510201575516814,16,0.547619047619048,15,13,0.455008560220604,0.4483111001127,1.14691134331131,1.214242045235
"mmu.miR.186.002285",-0.290728911929557,0.778683675601121,14,0.841269841269841,15,15,0.290006531606993,0.168209247289931,0.923135118107828,0.862805770769176
"mmu.miR.188.5p.002320",-1.4695958562567,0.211841535041259,7,0.30952380952381,15,15,0.743446755343443,0.526281568320322,0.583510835185963,0.671041499417109
"mmu.miR.18a.002422",0.0279425435696944,0.978393950062623,14,0.841269841269841,14,12,0.894287071624209,0.206374022315672,1.00837430880659,1.00230405418649
"mmu.miR.191.002299",0.0865991372789204,0.933348425591796,15,0.69047619047619,15,15,0.246597615045111,0.173638771396137,1.01150655890153,0.996160374847372
"mmu.miR.192.000491",-0.204663009797957,0.843270208978797,10,0.69047619047619,15,15,0.307825271333483,0.618553721863116,0.966342197263178,0.948570023899537
"mmu.miR.193b.002467",-0.776949311250494,0.463822047619621,10,0.69047619047619,15,15,0.173839203937403,0.895021890188949,0.886497156329122,0.901048896520054
"mmu.miR.194.000493",-0.639212294454634,0.542677325276069,10,0.69047619047619,15,15,0.917949951354498,0.00145466543417446,0.920299908968738,0.925308778676489
"mmu.miR.195.000494",0.253992505893059,0.807166652458581,14,0.841269841269841,15,15,0.590220532322656,0.787459743213711,1.02586025827073,1.03614952085532
"mmu.miR.196b.002215",1.4378020902904,0.21351847958284,17,0.420634920634921,15,15,0.727044741412974,0.137775195728703,1.45773669021246,1.33321903854619
"mmu.miR.19a.000395",0.990789626997381,0.35355373325644,19,0.222222222222222,15,15,0.340689498858823,0.15923188410525,1.13804863477665,1.15333180772721
"mmu.miR.19b.000396",1.61589167423158,0.14984080107804,20,0.150793650793651,15,15,0.707056500281318,0.0380936294507384,1.1733375699049,1.18345029287322
"mmu.miR.200a.000502",0.186764749536029,0.857786714802193,13,1,15,15,0.47096148265658,0.149936829767166,1.0347536938176,1.06702812768923
"mmu.miR.200b.002251",1.25499911536496,0.25680549765682,18,0.30952380952381,15,15,0.413951189699394,0.438489837828121,1.1601340301594,1.18474939557999
"mmu.miR.200c.002300",1.39087025199346,0.21964027723541,15,0.69047619047619,15,15,0.163530815402304,0.011335523594144,1.43871332558436,1.33677553315537
"mmu.miR.203.000507",1.37163815437806,0.232556923045275,16,0.547619047619048,15,15,0.31523967435009,0.289686695037566,1.12927432397149,1.11622758254303
"mmu.miR.205.000509",0.821241338781617,0.442439997017805,19,0.222222222222222,15,14,0.0130730655851705,0.563384360301477,1.17629593571891,1.10792940208706
"mmu.miR.20a.000580",2.75296319533895,0.0257953377565618,23,0.0317460317460317,15,15,0.663052382569472,0.0858313861240691,1.31996712682667,1.33042792336787
"mmu.miR.20b.001014",1.07767993524146,0.326258072997847,20,0.150793650793651,15,15,0.324288203661634,0.035012534177726,1.35409475366138,1.52991926750393
"mmu.miR.21.000397",0.94931183134269,0.370506992223115,18,0.30952380952381,15,15,0.725245466101903,0.107306470799481,1.35573855896412,1.3822554935918
"mmu.miR.215.001200",-2.65356463439148,0.029988149568454,2,0.0317460317460317,15,15,0.436844104330324,0.53984659788773,0.676550312891368,0.672581894606091
"mmu.miR.218.000521",1.07263837050323,0.318839476863144,18,0.30952380952381,15,15,0.726954353252087,0.25685693745233,1.24543986663083,1.22924247636269
"mmu.miR.222.002276",1.14103272169525,0.298336036299141,17,0.420634920634921,15,15,0.963733470793358,0.532106502377492,1.33868793031202,1.26918212194386
"mmu.miR.224.002553",0.76187275158014,0.468331732451953,17,0.420634920634921,15,13,0.898033363323281,0.858740283295954,1.11613433252288,1.12598193201785
"mmu.miR.23b.000400",0.565763549051125,0.596939424643883,11,0.841269841269841,15,14,0.0757502584229504,0.724531438135433,1.17102816618802,1.07865156822017
"mmu.miR.24.000402",2.51370801615521,0.0439270967681892,21,0.0952380952380952,15,15,0.96479338247648,0.637866360762049,1.24250156627621,1.25610278129721
"mmu.miR.25.000403",0.246918070926285,0.812227106365429,9,0.547619047619048,15,15,0.148782969996437,0.00348140074428273,1.11626490401931,0.975774228487437
"mmu.miR.26a.000405",0.360490884729265,0.728295021470285,15,0.69047619047619,15,15,0.928983232997699,0.374010405463262,1.03626700020796,1.0410716481224
"mmu.miR.26b.000407",1.34547063861447,0.21649859021427,17,0.420634920634921,15,15,0.104543261001321,0.469721642444645,1.24736955561721,1.26616639772338
"mmu.miR.27a.000408",-0.182728401467215,0.859637998451719,13,1,15,13,0.768669364691336,0.589625436924243,0.951023717641562,0.942776767471598
"mmu.miR.27b.000409",0.604421168720925,0.563739747511082,15,0.69047619047619,15,15,0.330406146108143,0.0175283264237023,1.1322899868912,1.11132266243146
"mmu.miR.28.000411",1.61010228313976,0.15147578915837,20,0.150793650793651,15,14,0.973619734799314,0.23088695261932,1.48493359787523,1.4731628091609
"mmu.miR.29a.002112",-1.21266059251008,0.291710157738707,9,0.547619047619048,15,15,0.0266934410011667,0.0066577436967012,0.166792316086865,0.383030379947909
"mmu.miR.29b.000413",0.111582080877553,0.913903725373885,13,1,13,11,0.287022571204307,0.520679806520445,1.049256670879,0.984913225363411
"mmu.miR.29c.000587",-0.0634219359021744,0.951092047216779,11,0.841269841269841,15,15,0.509348997085201,0.667790677915605,0.990756791145316,1.00501229069845
"mmu.miR.301a.000528",-0.64056385454485,0.547340166051532,8,0.420634920634921,15,15,0.997597917215564,0.0734326995529984,0.941188373110172,0.953436604741464
"mmu.miR.301b.002600",-0.353926685302867,0.733793117586679,11,0.841269841269841,15,15,0.91644433516254,0.943650816317583,0.939765623416655,0.915182674575046
"mmu.miR.30a.000417",-0.0680948391833832,0.948214207652895,17,0.420634920634921,15,15,0.0394709894932195,0.815162515363876,0.992428808502831,0.969010817904491
"mmu.miR.30b.000602",0.600649041137406,0.569573890943642,16,0.547619047619048,15,15,0.872146349556286,0.0742841701867631,1.14231323261789,1.08838070714541
"mmu.miR.30c.000419",0.410218750084984,0.692473798012914,13,1,15,15,0.449154299325221,0.623398435616247,1.05489487510115,1.05477971226295
"mmu.miR.30d.000420",0.745769606916364,0.479931659878361,15,0.69047619047619,14,15,0.900624425535399,0.459329790635818,1.13281370554764,1.11610214795543
"mmu.miR.30e.002223",-1.73722846842386,0.130322259037452,6,0.222222222222222,15,15,0.649479196626727,0.84847924131582,0.818793659784815,0.803809395718679
"mmu.miR.31.000185",-0.972336640133967,0.365355341592119,8,0.420634920634921,15,15,0.577726277748159,0.808554394648735,0.731947631889853,0.741919319274285
"mmu.miR.320.002277",0.398052633713506,0.70203439325711,14,0.841269841269841,15,15,0.154961879979167,0.939208436944591,1.08885199838771,1.06770519466276
"mmu.miR.322.001076",0.311770014967947,0.764777606741944,14,0.841269841269841,11,6,0.848990117095905,0.374939830968307,1.13640943989549,1.39611193339694
"mmu.miR.324.5p.000539",-0.701500096148324,0.503372787367097,9,0.547619047619048,12,10,0.163372993951926,0.984217322312146,0.782704879486373,0.71318330915614
"mmu.miR.328.000543",0.510501953691644,0.629639962039789,12,1,15,15,0.548564150448554,0.0628468910596724,1.09655364083129,1.0599291945297
"mmu.miR.331.3p.000545",0.532261051363785,0.610582029640284,15,0.69047619047619,15,15,0.48887795806344,0.254777512885647,1.07523292721951,1.06206776040446
"mmu.miR.340.3p.002259",-0.607465452018648,0.56080278098991,8,0.420634920634921,15,13,0.0663907340534935,0.661196946621185,0.881907362906924,0.875880667900358
"mmu.miR.340.5p.002258",0.404078621326283,0.69894924812501,15,0.69047619047619,11,13,0.651828706795051,0.404115776094223,1.18135539340236,1.02467539732786
