"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",-1.41233324740982,0.214722576218314,5,5,0.575675165559973,0.628271744531227
"U87.001712",-0.226840568677556,0.826295392789399,5,5,0.924285650426963,0.992419166422107
"Y1.001727",0.35279186749286,0.735454369195162,5,5,1.32898949561999,2.43013843318572
"mmu.let.7b.000378",1.13214239295497,0.291043051684342,5,5,1.64650952450278,2.23987450507793
"mmu.let.7c.000379",1.34693683453766,0.218066453088431,5,5,1.57662925656739,1.62940371623706
"mmu.let.7d.002283",0.250449351077921,0.809475766957097,5,5,1.09583370464367,1.25150452173349
"mmu.let.7e.002406",0.632873492192123,0.545501663346811,5,5,1.41282018524765,1.98828932302554
"mmu.let.7g.002282",0.725276056474837,0.489277329480689,5,5,1.29767829307117,1.45019158132256
"mmu.let.7i.002221",0.942490407777703,0.381557482384573,5,5,1.27579745667947,1.11388253725171
"mmu.miR.100.000437",-0.673435993316546,0.525183021792779,5,4,0.672004562287945,0.578485807175578
"mmu.miR.101a.002253",-1.04257247262884,0.333581250346333,5,5,0.698850746410735,0.525597567962486
"mmu.miR.103.000439",0.384427053598915,0.716032942841563,5,3,1.29946023787351,1.3107252798689
"mmu.miR.106a.002459",-1.44038198559999,0.203797568764858,5,5,0.639715171983656,0.667925687167412
"mmu.miR.106b.000442",2.18347696570861,0.0791155925159282,5,5,2.45609791115631,2.34064007224076
"mmu.miR.10a.000387",2.40735890123985,0.0584532100112404,5,5,1.69071315959632,1.61843912689124
"mmu.miR.10b.002218",0.268115751201433,0.812660179146454,3,2,1.19111425034998,0.790034312274723
"mmu.miR.124.001182",1.80998173442185,0.170654885658618,3,2,1.87160482525869,1.88477861034385
"mmu.miR.125a.5p.002198",-1.68105029095672,0.16351344050295,5,4,0.44953823523271,0.398594289851973
"mmu.miR.125b.5p.000449",0.729051995598066,0.490527814215615,5,4,1.37203416298633,0.992685975861564
"mmu.miR.126.3p.002228",-1.0041293148968,0.361259360827031,5,4,0.573652677615333,0.48313825595018
"mmu.miR.128a.002216",-0.736003097145995,0.517452329181672,2,4,0.657811302468213,0.66642283371181
"mmu.miR.130a.000454",1.76061065866698,0.12450947385553,5,5,2.23315602677803,2.1685451991365
"mmu.miR.130b.000456",0.981114541103493,0.356271124173979,5,5,1.39564757823096,1.98562022301513
"mmu.miR.139.5p.002289",0.140138182468828,0.89258417878725,5,5,1.02677829358457,1.00026863308401
"mmu.miR.140.001187",0.276344494760837,0.79021731640913,5,5,1.07604777234647,1.18004616780478
