"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",1.2962600474648,0.249565506387628,5,5,1.73446156408766,1.63120148386039
"U87.001712",3.29541170782685,0.0173285611860074,5,5,1.50866567298198,1.58240089084452
"Y1.001727",0.775833757611475,0.460502057090934,5,5,1.28641716954446,1.32828372479659
"mmu.let.7b.000378",2.05329387093748,0.082232430414134,5,5,1.50503092425433,1.49946676207979
"mmu.let.7c.000379",2.33681080312382,0.0545746576170238,5,5,1.33197108864046,1.3724069554602
"mmu.let.7d.002283",1.68252222971328,0.131216091125415,5,5,1.3947911856871,1.4324495638156
"mmu.let.7e.002406",4.01578841233704,0.00454459899388164,5,5,2.13950357524491,2.319146155047
"mmu.let.7g.002282",1.47147570511166,0.192619141744688,5,5,1.26130950293869,1.34027471858982
"mmu.let.7i.002221",1.29853174246298,0.258230307385,5,5,1.34129910312271,1.25910582459405
"mmu.miR.100.000437",-1.01065482710772,0.358897448851249,5,5,0.603634711450155,0.674424072790018
"mmu.miR.101a.002253",-0.524890248481849,0.621429386324564,5,5,0.857794176302324,0.701572616608194
"mmu.miR.103.000439",-2.00584738638027,0.0803504033765692,5,5,0.558742727049626,0.480004136727553
"mmu.miR.106a.002459",0.103082628961166,0.922072417377634,5,5,1.02593522302264,0.841281977130672
"mmu.miR.106b.000442",-0.595199523826005,0.570822997658019,5,5,0.863051778349406,0.795007040997012
"mmu.miR.10a.000387",-1.33285528255928,0.231349571180292,5,5,0.759581265702782,0.701587691476994
"mmu.miR.10b.002218",0.942254398942229,0.444003938528303,3,5,3.08747230832481,2.02623647934892
"mmu.miR.124.001182",1.399885931263,0.216064265974408,4,4,1.60098674370697,2.07257267675087
"mmu.miR.125a.5p.002198",2.10744237584788,0.0724812350383511,5,5,1.69848013984691,1.72546658814957
"mmu.miR.125b.5p.000449",-0.256113602842937,0.807416481912691,5,5,0.893546773611485,1.21268944801848
"mmu.miR.126.3p.002228",-0.744786721181235,0.486140822707617,4,5,0.724145616233967,0.623533370843288
"mmu.miR.128a.002216",0.0678453923707612,0.947906682818537,4,5,1.03218922581923,1.21590126089071
"mmu.miR.130a.000454",-1.20635334800947,0.267427381814049,4,5,0.537606522735161,0.49295924320591
"mmu.miR.130b.000456",-0.649598090991433,0.535101269989385,5,5,0.776453169821593,0.569926644828047
"mmu.miR.139.5p.002289",0.295739126242892,0.774961395451286,5,5,1.05866878880751,1.07331410561765
"mmu.miR.140.001187",0.0299313961287984,0.97686047511537,5,5,1.00681924298223,0.96457568150055
"mmu.miR.141.000463",-0.866364169314247,0.417608273789507,5,5,0.782267794041568,0.605246251037916
"mmu.miR.142.3p.000464",1.25698276721937,0.260519739245867,4,5,1.99500710542261,2.45458722309512
"mmu.miR.145.002278",0.922539584758524,0.395037052694214,5,5,1.47846058052068,1.28817458992564
"mmu.miR.146a.000468",1.61992058500454,0.16033863423526,5,5,1.66950578881082,1.61709355094862
"mmu.miR.146b.001097",-0.86119331373909,0.420843934555725,5,5,0.800898798645739,0.663873166591528
"mmu.miR.148a.000470",0.639350805269149,0.555568364063179,5,5,1.3300956793705,0.956396756863342
"mmu.miR.148b.000471",1.91811256134994,0.24950768038722,2,4,2.69341209342553,3.2991568038887
"mmu.miR.151.3p.001190",0.0273739693546757,0.979112611156968,4,5,1.01147520182451,0.975566132400139
"mmu.miR.152.000475",0.468463515776047,0.653827070390308,5,5,1.12968713508831,1.01206387183056
"mmu.miR.155.002571",-1.25583743636027,0.254077041693265,5,5,0.356329062302678,0.348623059252887
"mmu.miR.15b.000390",-0.677878790972862,0.522965680762122,5,5,0.862101483536829,0.793698807447238
"mmu.miR.16.000391",-0.303266701325308,0.769559924691661,5,5,0.925419689361928,0.943381453218279
"mmu.miR.17.002308",-0.473515502867545,0.65683190895226,5,5,0.900589323382093,0.785431488562231
"mmu.miR.181a.000480",-0.355683755982808,0.731277473690022,5,5,0.866134637278687,0.891550572242337
"mmu.miR.181c.000482",-0.881690100915306,0.41409007339392,5,5,0.657588063232446,0.787222481933046
"mmu.miR.182.002599",0.468254390724746,0.652108018839307,5,5,1.09709898406361,1.10009654650521
"mmu.miR.183.002269",-0.552355309969691,0.602625264794483,5,5,0.85328955505628,0.932384385017396
"mmu.miR.186.002285",-0.107211309220363,0.919335830356436,5,5,0.961442743679746,1.13978281302018
"mmu.miR.188.5p.002320",1.55777451497625,0.160797636760609,5,5,1.69842677659799,1.69148119966467
"mmu.miR.18a.002422",-2.39942804884705,0.0481512436625059,4,5,0.413846150392628,0.344651985645046
"mmu.miR.191.002299",-0.680571028532215,0.515407629628401,5,5,0.90061799043629,0.893723424410797
"mmu.miR.192.000491",-0.877141388921776,0.405986741861189,5,5,0.790416053326012,0.72290077525733
"mmu.miR.193b.002467",-0.136314299070847,0.896318346409577,5,5,0.969468758662787,0.885401266523027
"mmu.miR.194.000493",-0.105749795540339,0.918404071420391,5,5,0.973845140429387,0.916635168016749
"mmu.miR.195.000494",-0.827747267666807,0.432925687392509,5,5,0.889754180980955,0.891316762395392
"mmu.miR.196b.002215",0.647135476880907,0.542680044595254,5,5,1.16154165173767,1.10230995083213
"mmu.miR.19a.000395",-2.55736118832467,0.0497604018632915,5,5,0.428306751162431,0.433495265788589
"mmu.miR.19b.000396",-2.65898790396886,0.0307888459275164,5,5,0.607797656394722,0.541868295391481
"mmu.miR.200a.000502",-0.544541925958664,0.601257233136606,5,5,0.906632935082011,0.880713779166702
"mmu.miR.200b.002251",-0.695045907992388,0.507098635868953,5,5,0.8402525250143,0.769426990241498
"mmu.miR.200c.002300",0.0568730986497061,0.956053181159439,5,5,1.01773675299919,1.0064250543483
"mmu.miR.203.000507",-0.974641591529616,0.376953190056799,5,5,0.827110977656933,0.742272148850062
"mmu.miR.205.000509",-0.773487884388488,0.468915476051268,5,5,0.765308543671805,0.798993096508791
"mmu.miR.20a.000580",0.864651985933937,0.421135525801268,5,5,1.10765651590497,1.09239842798452
