"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",-0.464033408739982,0.66006737619376,5,5,0.82480279696003,0.941373509076243
"U87.001712",0.618610032833632,0.55730040665025,5,5,1.21011598342658,1.17326138501113
"Y1.001727",1.58626185297487,0.167324987739794,5,5,2.63237205602728,1.95161253840236
"mmu.let.7b.000378",1.13471835501431,0.290067971645112,5,5,1.51266224469227,2.04871550823275
"mmu.let.7c.000379",1.86160354636978,0.116730134164886,5,5,1.79940605390659,1.75383723010484
"mmu.let.7d.002283",-0.208960705138359,0.83999183526243,5,5,0.938575715014305,0.965047901995341
"mmu.let.7e.002406",1.35705078873588,0.218237991129697,5,5,1.83918519833908,3.27048106705126
"mmu.let.7g.002282",0.639042129884524,0.540816510794074,5,5,1.24778472007641,1.66031647314736
"mmu.let.7i.002221",1.03209151917886,0.338265888915818,5,4,1.33497189824804,1.18045422771699
"mmu.miR.100.000437",-2.43288835273577,0.0909113420373495,5,4,0.0937538469684733,0.112617967016949
"mmu.miR.101a.002253",-0.784965051236652,0.470950813452657,5,4,0.777142264385796,0.560090845799727
"mmu.miR.103.000439",0.248041072499607,0.812759102381566,5,4,1.1289157961206,0.900370130921799
"mmu.miR.106a.002459",-2.28758825998291,0.0833511076851406,5,5,0.169127929482097,0.264986774277632
"mmu.miR.106b.000442",1.29592325994275,0.236631525733655,5,5,1.64703064873701,2.01272833571238
"mmu.miR.10a.000387",1.35340070476993,0.215848833629243,5,5,1.36142209431279,1.35016999233161
"mmu.miR.10b.002218",-1.39737704646885,0.244515139399976,3,4,0.252853121902335,0.35431987169584
"mmu.miR.124.001182",-1.6119464156313,0.243898363526315,3,3,0.298098242178668,0.3982947729746
"mmu.miR.125a.5p.002198",-1.51116958764744,0.173000635556798,5,5,0.637757719464795,0.474938183012183
"mmu.miR.125b.5p.000449",0.92297874559876,0.396376292400013,5,4,1.43573052920286,0.954786790431279
"mmu.miR.126.3p.002228",-0.0987225053520853,0.925630856277132,5,3,0.943719449697603,0.857680817084759
"mmu.miR.128a.002216",-0.97021666694376,0.431880357497408,2,3,0.192313721931879,0.452023944523324
"mmu.miR.130a.000454",-1.82294225498229,0.130900655715806,5,4,0.495654704359239,0.354087867006763
"mmu.miR.130b.000456",1.13907174307627,0.287980459084291,5,5,1.51864707735881,1.59030166996652
"mmu.miR.139.5p.002289",-0.303210302496103,0.769699139809808,5,5,0.941799624871722,0.920220856611293
"mmu.miR.140.001187",-0.385184267422113,0.71269692622547,5,4,0.920578886438937,0.925500196621592
"mmu.miR.141.000463",0.950626947953399,0.369660293431167,5,5,1.22399588253694,1.29830888477157
"mmu.miR.142.3p.000464",-0.191053397092945,0.861110620418619,3,3,0.924116444000528,0.726767159000783
"mmu.miR.145.002278",0.862596962311417,0.440333466959966,4,2,2.54675032477497,1.8518665186113
"mmu.miR.146a.000468",0.0468588087756753,0.964054728588317,5,5,1.00988672770665,0.983395364823426
"mmu.miR.146b.001097",-0.44264664657923,0.674458177463612,5,5,0.886375773170938,0.951299985377053
"mmu.miR.148a.000470",0.758406768310459,0.474021076921138,5,5,1.32844127344313,1.21829242283848
