"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",0.643415415227302,0.54430480574305,5,5,1.27982167827788,1.19544841405864
"U87.001712",-0.255511970725295,0.809394289746785,5,5,0.957955892137247,1.00289900285737
"Y1.001727",1.80863961805199,0.121516693263031,5,5,1.77012774730627,1.80159499775108
"mmu.let.7b.000378",1.32769141168501,0.228145113387878,5,5,1.28029767552844,1.26703706316112
"mmu.let.7c.000379",1.83019540584271,0.111882325969309,5,5,1.23478385908558,1.25438457692817
"mmu.let.7d.002283",1.98766515254572,0.0929868191932021,5,5,1.38710151428283,1.37565254375016
"mmu.let.7e.002406",7.35394245649997,0.000588038858005034,5,5,2.68589807532049,2.68896527887543
"mmu.let.7g.002282",3.1500343405463,0.0148372049872139,5,5,1.48491311723055,1.51767399650206
"mmu.let.7i.002221",1.82699707029703,0.124653496603963,5,5,1.60347215130265,1.5483380879888
"mmu.miR.100.000437",-1.6061056507826,0.183305028289419,5,5,0.102698564755539,0.245301765809587
"mmu.miR.101a.002253",1.1726455008896,0.297059149412659,5,5,1.56330298982336,1.31294922741323
"mmu.miR.103.000439",-1.09611209007829,0.308426561253338,5,5,0.63994662473265,0.595399670348525
"mmu.miR.106a.002459",-2.15278476596008,0.0951611157966941,5,5,0.213526615187924,0.262795035387586
"mmu.miR.106b.000442",0.609482061037531,0.568498303580207,5,5,1.17002607805135,1.06844032079086
"mmu.miR.10a.000387",-2.09892490079205,0.0693510109170467,5,5,0.624756687622763,0.586233097214985
"mmu.miR.10b.002218",-0.212442227534482,0.841458925464079,3,5,0.83947953515329,0.948407609579865
"mmu.miR.124.001182",-1.15104297704287,0.331229577277413,4,4,0.386921059246365,0.739984596154039
"mmu.miR.125a.5p.002198",0.501789594596386,0.629331744717017,5,5,1.12890168006012,1.15068625648532
"mmu.miR.125b.5p.000449",-0.484192081001947,0.641241786196797,5,5,0.892348388324843,0.852717826575069
"mmu.miR.126.3p.002228",-3.85545594129182,0.0189016279238212,4,3,0.266436486900152,0.210955260878137
"mmu.miR.128a.002216",-1.62864751397131,0.350213331445614,4,2,0.0686318387771086,0.0757009215372959
"mmu.miR.130a.000454",-1.34449315785816,0.238935691642676,4,5,0.343380807586479,0.379361101933213
"mmu.miR.130b.000456",-0.717602557489481,0.509284153168396,5,5,0.796375339110248,0.532276260681509
"mmu.miR.139.5p.002289",-0.107920980347124,0.916718660650566,5,5,0.979980149138679,0.988806633190583
"mmu.miR.140.001187",1.43860865780106,0.210846060485051,5,5,1.33948479020933,1.24263683594211
"mmu.miR.141.000463",-0.138159893710859,0.894539115753054,5,5,0.958171051087641,0.752497412701662
"mmu.miR.142.3p.000464",1.30493691282561,0.26337616419476,4,4,1.87107143324032,1.72778015584654
"mmu.miR.145.002278",-0.662090131494819,0.527617729494949,5,5,0.742675799312487,0.718140448959924
"mmu.miR.146a.000468",2.36235381467038,0.0733052759249292,5,5,2.18567956536843,2.0429486280625
"mmu.miR.146b.001097",-1.20518975746168,0.262574587251303,5,5,0.701037323060421,0.619557431931029
"mmu.miR.148a.000470",0.700877446132485,0.514972792480576,5,5,1.39628851239461,1.0574217645979
"mmu.miR.148b.000471",2.54223568056649,0.228395397452206,2,3,4.49651263364864,4.49629221923362
"mmu.miR.151.3p.001190",-0.492934662258827,0.637146726236835,4,5,0.796903314007154,0.758975787719179
"mmu.miR.152.000475",1.03719559474692,0.342683759638477,5,5,1.30297994256813,1.15326777276276
"mmu.miR.155.002571",-1.60680060017145,0.157004040224756,5,4,0.361754650295087,0.17069483292382
"mmu.miR.15b.000390",0.115426404205517,0.91361998226492,5,5,1.02479009782731,0.927814261058449
"mmu.miR.16.000391",-0.281600396357806,0.786173902476029,5,5,0.921404707311753,1.10048305153174
"mmu.miR.17.002308",-0.639153418825849,0.542499806997658,5,5,0.851370392259487,0.767666675225835
"mmu.miR.181a.000480",0.186348871467655,0.858346273480379,5,5,1.06803090150503,0.962499386169669
"mmu.miR.181c.000482",1.02016860371456,0.346965770674991,5,5,1.39510562406769,1.29917029627459
"mmu.miR.182.002599",0.0424681869845211,0.967255345270713,5,5,1.00698644883753,0.990942276552125
"mmu.miR.183.002269",1.21070623145101,0.262476465371864,5,5,1.32009919537706,1.39459839561556
"mmu.miR.186.002285",0.179647694094562,0.864344969156437,5,5,1.04357774830219,1.1409656241337
"mmu.miR.188.5p.002320",0.295070142456007,0.776479091831328,5,5,1.12524990878519,1.25276492622336
"mmu.miR.18a.002422",0.0949702629858416,0.928466631365308,4,5,1.03904597376491,0.869551640860958
"mmu.miR.191.002299",-1.55293970803933,0.172681037817178,5,5,0.708242393580513,0.735161095391621
"mmu.miR.192.000491",-1.14528767467425,0.285756635344955,5,5,0.730762777701579,0.684254501839072
"mmu.miR.193b.002467",-1.78068169529617,0.123782225733643,5,5,0.561630058336533,0.552199591416247
"mmu.miR.194.000493",-0.109398476532905,0.915766741886267,5,5,0.974888592931293,0.911846398480575
"mmu.miR.195.000494",-1.27704723251803,0.237735622195764,5,5,0.848957524006686,0.844892986180186
"mmu.miR.196b.002215",0.977071361089307,0.361420473466047,5,5,1.29424006700142,1.26605714677169
"mmu.miR.19a.000395",-0.567696506644576,0.586276859284018,5,5,0.879991249607311,0.846807484968227
"mmu.miR.19b.000396",-1.00037900912471,0.349286220945065,5,5,0.807228107753722,0.726013925923863
"mmu.miR.200a.000502",0.133398608252888,0.897264650505069,5,5,1.02571322614463,1.00495877879089
"mmu.miR.200b.002251",-1.85321612902457,0.101181167981159,5,5,0.639714698961017,0.583261731961846
"mmu.miR.200c.002300",-0.536551876590286,0.606206394251774,5,5,0.850070425010583,0.838751720899106
"mmu.miR.203.000507",-1.1789267284345,0.296558210509373,5,5,0.799989841541991,0.716615287787475
"mmu.miR.205.000509",-0.464327443874048,0.655128143324418,5,5,0.885566653281692,0.873734296546268
"mmu.miR.20a.000580",0.113484811061764,0.912608388809058,5,5,1.01467370367399,1.00633338255945
