"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",-0.52741783403517,0.61224034916315,5,5,0.786670404760004,0.692905442779896
"U87.001712",0.510128920377697,0.626977379156994,5,5,1.25100094884406,1.14689577611376
"Y1.001727",0.160946961729241,0.87628511786293,5,5,1.16686400745502,2.42275730506515
"mmu.let.7b.000378",0.163074674147158,0.876319859163772,5,5,1.07690527908761,1.51226114567631
"mmu.let.7c.000379",-0.105445070496963,0.919011062295659,5,5,0.967963865477372,1.03949274804631
"mmu.let.7d.002283",-0.0121083854138711,0.990680188081434,5,5,0.99537495455026,1.12411364344045
"mmu.let.7e.002406",-0.862685048219382,0.432579492361462,5,5,0.544538959485921,0.823915959652581
"mmu.let.7g.002282",-1.09695040184555,0.319888201725096,5,5,0.634606992639749,0.71436955055106
"mmu.let.7i.002221",-0.234935680109069,0.822175963932017,5,5,0.927807239947995,0.761798363510555
"mmu.miR.100.000437",0.367394219676742,0.732763908525566,4,4,1.40056387665948,0.659636383885858
"mmu.miR.101a.002253",-0.611098829353808,0.558547492964196,5,5,0.856870609273911,0.82704176564788
"mmu.miR.103.000439",-0.408210156891443,0.708891835416373,5,3,0.738050211052027,0.731894862431134
"mmu.miR.106a.002459",-2.1844727045064,0.07585190131723,5,5,0.455313453619968,0.443404369829457
"mmu.miR.106b.000442",1.31160366846696,0.227508106973147,5,5,1.49740095602074,1.51877240703312
"mmu.miR.10a.000387",1.02775350722326,0.34796695837842,5,5,1.28361932334278,1.22337295968696
"mmu.miR.10b.002218",-3.55882944749008,0.0378523673807245,3,2,0.305498695163663,0.238470304714595
"mmu.miR.124.001182",3.47833029275138,0.158664789896491,2,2,5.75746843520468,5.89086064313644
"mmu.miR.125a.5p.002198",-1.99731036783689,0.118394405165312,5,4,0.363604829936007,0.350682498991402
"mmu.miR.125b.5p.000449",-1.75137785031622,0.155285771191864,2,4,0.420360964030204,0.448328827018986
"mmu.miR.126.3p.002228",-0.950719635286934,0.402214417631115,5,4,0.63792540467055,0.700778388882022
"mmu.miR.128a.002216",NA,NA,NA,NA,NA,NA
"mmu.miR.130a.000454",0.622836117133307,0.589083671719709,3,5,1.83114185970739,1.5536493045142
"mmu.miR.130b.000456",1.28115058473575,0.241521938838589,5,5,1.60013354587363,2.23905428046857
"mmu.miR.139.5p.002289",-1.56381317263832,0.156520495008046,5,5,0.767228888164768,0.757532396737856
"mmu.miR.140.001187",-0.657155654120376,0.529602143879377,5,5,0.781344613526556,0.577480563688257
"mmu.miR.141.000463",0.449003837214839,0.671396605598249,5,5,1.12120306850111,1.00895266604057
"mmu.miR.142.3p.000464",1.15044954324746,0.294087497860576,4,4,2.17829195323535,3.99619147905616
"mmu.miR.145.002278",3.93469936162239,0.0550178921938744,2,4,3.41048486032999,4.41120129443453
"mmu.miR.146a.000468",-0.875002518105043,0.417471722104467,5,5,0.733120445692711,0.772675465106428
"mmu.miR.146b.001097",-1.05468457769264,0.332711165211268,5,5,0.761060331675941,0.802770937879026
"mmu.miR.148a.000470",1.06164090920733,0.333457165182636,5,5,1.67978136151497,1.50922917418956
"mmu.miR.148b.000471",NA,NA,NA,NA,NA,NA
"mmu.miR.151.3p.001190",0.30363402102322,0.784301526790053,3,4,1.15050980661522,0.872167731862941
"mmu.miR.152.000475",-0.712730381847986,0.496708635053587,5,5,0.770006189546652,0.616911862607257
"mmu.miR.155.002571",-1.01810629753097,0.344476768715524,4,5,0.624470016415962,0.681723141463791
"mmu.miR.15b.000390",0.434544539735159,0.675452923260931,5,5,1.18424926836282,1.22176726648865
"mmu.miR.16.000391",-0.655065192784318,0.540061463783332,5,5,0.823578959308441,0.88195728712438
"mmu.miR.17.002308",-2.40526876783729,0.0534391155801156,5,5,0.609281359522743,0.61704896992137
"mmu.miR.181a.000480",-1.60558518856785,0.151110614618433,5,5,0.667552456268153,0.597392029577427
"mmu.miR.181c.000482",-2.07835419585924,0.0919588683216523,5,5,0.32068317924533,0.28073295532714
"mmu.miR.182.002599",0.722051180204675,0.491257182378187,5,5,1.23008249452645,1.2280120293238
"mmu.miR.183.002269",-1.14292857748545,0.307760653838018,5,4,0.529935146832617,0.363485091556843
"mmu.miR.186.002285",-0.590512907366652,0.58205997254618,5,5,0.858653230179027,1.04367540983112
"mmu.miR.188.5p.002320",1.00824822592299,0.347111801618556,5,4,1.93979865378513,3.88099064464659
"mmu.miR.18a.002422",0.0710235124935764,0.948273676359772,3,5,1.04497522272306,0.790511991218569
"mmu.miR.191.002299",-2.43387077054978,0.0626449489882942,5,5,0.433143808211876,0.464100672562063
"mmu.miR.192.000491",-1.10505446145194,0.32407797759741,5,5,0.754361029701075,0.829334660476808
"mmu.miR.193b.002467",-1.39747618339016,0.200242025379298,5,5,0.66148731608799,0.577615473620157
"mmu.miR.194.000493",1.40669315220112,0.203869305202856,5,5,1.36076059234605,1.35384342094175
"mmu.miR.195.000494",-0.349097286455935,0.737486170364092,5,5,0.963852751449559,0.972955342116738
"mmu.miR.196b.002215",-2.0760518801078,0.0924208409381015,5,5,0.488845329485461,0.49609100105453
"mmu.miR.19a.000395",-2.12435027822977,0.0782148095249012,5,5,0.586566881367366,0.612869193675418
"mmu.miR.19b.000396",-1.14452061791994,0.298348093361539,5,5,0.8516907235544,0.864987202635276
"mmu.miR.200a.000502",1.77074440261707,0.143657577213801,5,5,1.62927427771914,1.52042462182466
"mmu.miR.200b.002251",-0.870487026185001,0.420723332728668,5,5,0.74355525633685,0.801896025727734
"mmu.miR.200c.002300",-1.34447805869313,0.246812343494087,5,5,0.412233730590487,0.514570656110833
"mmu.miR.203.000507",-0.619370826368174,0.553996515568639,5,5,0.939373345600277,0.94466760700324
"mmu.miR.205.000509",-0.593524816248692,0.572168269761457,4,5,0.803681920671715,0.715231119083427
"mmu.miR.20a.000580",-1.33102734896277,0.233241294587355,5,5,0.748734199957028,0.768868454201994
"mmu.miR.20b.001014",-2.19676641193364,0.063990898328712,5,5,0.362835138984217,0.30414013045751
"mmu.miR.21.000397",0.160251886583801,0.876844624364345,5,5,1.06095216616033,0.961795374840088
"mmu.miR.215.001200",1.15171584063384,0.283085652887668,5,5,1.32905175296384,1.41769274587031
"mmu.miR.218.000521",-2.7593204375262,0.0262202924348379,5,5,0.636781046352589,0.627812166849706
"mmu.miR.222.002276",-2.48144029779352,0.047807503228936,5,5,0.436022029548119,0.417860847517756
"mmu.miR.224.002553",0.0766210358874726,0.940878583891613,5,5,1.03694821185285,0.932990628674401
"mmu.miR.23b.000400",0.754964437738696,0.474915557745785,4,5,1.37455376431052,2.52389406429246
"mmu.miR.24.000402",-1.08130074573828,0.316225134372158,5,5,0.852454533359816,0.834598419367797
"mmu.miR.25.000403",1.08338862044206,0.325439206989943,5,5,1.62229712757004,1.50539229620666
"mmu.miR.26a.000405",0.889400534330656,0.399741757468924,5,5,1.16096273472703,1.17305860711311
"mmu.miR.26b.000407",0.829723834985377,0.433753146756656,5,5,1.25471314316869,1.32893679754307
"mmu.miR.27a.000408",-0.393705286860642,0.714317274848984,4,3,0.831585734994266,0.807130303670849
"mmu.miR.27b.000409",1.55581215129997,0.158684325961542,5,5,1.66552492160801,1.80354109151579
"mmu.miR.28.000411",0.383199446149053,0.711575913694835,5,5,1.14820271775073,1.17627802479511
"mmu.miR.29a.002112",0.80921451558588,0.461200619237592,5,5,2.31363256913253,1.14871132809607
"mmu.miR.29b.000413",0.953695467247727,0.406699606891645,3,4,1.93908545415057,2.04128882491254
"mmu.miR.29c.000587",0.965824855571058,0.373624044036,5,5,1.17867213338929,1.14592584980705
"mmu.miR.301a.000528",0.191203815189827,0.853130375114543,5,5,1.06345497028878,1.10504589803657
"mmu.miR.301b.002600",0.582065032005407,0.577793612030784,5,5,1.18890570779283,1.09670209781589
"mmu.miR.30a.000417",-0.36070754371696,0.728582381265071,5,5,0.952324787359955,0.937418968902016
"mmu.miR.30b.000602",0.0579349815181859,0.955235947403151,5,5,1.01430718310992,1.00289036010402
"mmu.miR.30c.000419",0.420799140783829,0.686416803699731,5,5,1.10646706659121,1.08193804876183
"mmu.miR.30d.000420",-0.583708704794326,0.57857329693412,5,5,0.769502745568298,1.79457665233312
"mmu.miR.30e.002223",1.10719172231369,0.300945630316891,5,5,1.24279849240849,1.26941966204569
"mmu.miR.31.000185",1.01775110962691,0.339218406445908,5,5,1.77545297669769,2.14782178861131
"mmu.miR.320.002277",-0.910140606513438,0.407041933759815,5,5,0.583809338735277,0.707831216660005
"mmu.miR.322.001076",-1.54205210240219,0.206120281092262,2,4,0.461580974101464,0.547918873871758
