"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",-1.28168051718921,0.268971514156426,5,5,0.151583300433697,0.26453896082732
"U87.001712",-0.345326267226617,0.744292801004101,5,5,0.883872493081544,1.05746581078893
"Y1.001727",0.0989936288097691,0.92457911400424,5,5,1.06875988876104,1.95323484506611
"mmu.let.7b.000378",0.203223042304094,0.844356879201205,5,5,1.07306108927501,0.792007513056666
"mmu.let.7c.000379",0.947204567560068,0.37194847247786,5,5,1.24108240107212,1.27887904391726
"mmu.let.7d.002283",0.0290974594097339,0.977707992289638,5,5,1.00924165502055,0.825374413408244
"mmu.let.7e.002406",-0.243370288606407,0.814309422138159,5,5,0.876920462537817,0.701617783946999
"mmu.let.7g.002282",0.205084766100038,0.843133983112748,5,5,1.07909038844924,1.32177262359318
"mmu.let.7i.002221",0.443522088869976,0.670453931722153,5,5,1.16923511572142,1.11803939282415
"mmu.miR.100.000437",1.11175086999437,0.37788813316368,3,4,2.60934284465693,1.15812881776683
"mmu.miR.101a.002253",-0.599771978530919,0.568769240554308,4,5,0.783908247089948,0.860076951199783
"mmu.miR.103.000439",-1.26135161783904,0.271551131074582,4,5,0.445369353590498,0.791411288718092
"mmu.miR.106a.002459",-1.71082602827827,0.127529066053914,5,5,0.607540457270849,0.575181277350877
"mmu.miR.106b.000442",1.0867031799374,0.310053026069291,5,5,1.51479628940131,1.55756375794964
"mmu.miR.10a.000387",1.75701323735521,0.128076470365027,5,5,1.37778301324109,1.35112637513493
"mmu.miR.10b.002218",1.21384188410153,0.347948086834906,3,4,7.40247160179742,4.90786004249214
"mmu.miR.124.001182",-1.06404900108636,0.45570231736733,3,2,0.359618542107396,0.278750473566353
"mmu.miR.125a.5p.002198",-2.72916989234458,0.040929326733368,4,5,0.314730580095484,0.316300439228926
"mmu.miR.125b.5p.000449",0.325466821669276,0.754443139258317,5,5,1.13272748100905,2.06928114005769
"mmu.miR.126.3p.002228",0.249508455050035,0.83151256551989,2,3,1.2234145672357,1.28403478855825
"mmu.miR.128a.002216",1.11672259144685,0.332685019000711,4,3,2.58188737386738,1.77848639164871
"mmu.miR.130a.000454",0.358631305712911,0.732354706570502,4,4,1.17215442234497,1.16982864801452
"mmu.miR.130b.000456",0.842100503127971,0.444459442428096,5,3,1.53698424688409,1.91994130267562
"mmu.miR.139.5p.002289",-1.19515435970004,0.292560626860281,5,5,0.791389518392084,0.732409404201024
"mmu.miR.140.001187",1.31997005061979,0.273762773567257,4,4,1.41531842988753,1.31557976412751
"mmu.miR.141.000463",0.983507517881493,0.354209704995261,5,5,1.24341353181739,1.25738566487308
"mmu.miR.142.3p.000464",-0.428809951338137,0.723469438747409,2,2,0.734929487580047,0.824126205096927
"mmu.miR.145.002278",1.65269991191457,0.183099163292075,4,3,2.64058179770223,2.16893525032111
"mmu.miR.146a.000468",0.147123130927612,0.88702283723256,5,5,1.02718382978921,1.04953859539176
"mmu.miR.146b.001097",-1.10148984721313,0.302985024912415,5,5,0.691866924301484,0.640224512254784
"mmu.miR.148a.000470",0.116033491871183,0.911454274845941,5,5,1.0517649637607,1.42556816111635
"mmu.miR.148b.000471",-1.01138062498683,0.347070556137376,4,5,0.591825071037098,0.311450597836109
"mmu.miR.151.3p.001190",-0.27858829131274,0.793323587306199,3,4,0.890541431819523,0.994894660516848
"mmu.miR.152.000475",-0.269608731188112,0.794436210779543,5,5,0.923311604264134,0.952664822846904
"mmu.miR.155.002571",-0.42571781367238,0.681537527713701,5,5,0.86832993347627,0.856983075844242
"mmu.miR.15b.000390",-0.429423527154975,0.680441826118855,5,5,0.91086464335406,0.848479213035463
"mmu.miR.16.000391",-0.538054127424455,0.609354763222131,5,5,0.890831417798623,0.843971636964972
"mmu.miR.17.002308",-2.16407295278394,0.0624304418773781,5,5,0.636925062008879,0.606771328309437
"mmu.miR.181a.000480",-0.831274188026337,0.443170319254912,5,5,0.740804479830554,0.850496509159565
"mmu.miR.181c.000482",-0.343274077741414,0.746729426016019,5,5,0.744317064889597,1.67082568575257
"mmu.miR.182.002599",-1.05854574009324,0.324004242457027,5,5,0.798836778830779,0.731417485146504
"mmu.miR.183.002269",-0.109132477026086,0.91762980351691,4,5,0.976864843245019,1.07492313652506
"mmu.miR.186.002285",0.250080626754777,0.812720323583457,5,5,1.11873220298272,0.910081479935726
"mmu.miR.188.5p.002320",1.50617063937531,0.183285343010667,5,4,2.41959098746921,2.38638381598173
