"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",1.906844816447,0.098464294760717,5,5,1.70834130726793,1.73354681188726
"U87.001712",0.597198943212621,0.569380373245867,5,5,1.15052720433084,1.13151522376232
"Y1.001727",-0.664738139951447,0.525214802520986,5,5,0.754003092239576,0.67832360076469
"mmu.let.7b.000378",-0.0993131445082882,0.923361086001827,5,5,0.981353207519449,0.962132701161253
"mmu.let.7c.000379",-0.687209469608464,0.51143870248177,5,5,0.87805662543097,0.872615130921889
"mmu.let.7d.002283",-1.14176550860787,0.307621401964342,5,5,0.809784692113055,0.847753649606236
"mmu.let.7e.002406",-0.615676910280634,0.555216221455017,5,5,0.800934155575863,0.742645078856933
"mmu.let.7g.002282",-0.632703338918863,0.547781914374342,5,5,0.811258806974609,0.74506437874908
"mmu.let.7i.002221",-1.31679762415215,0.245646439531532,5,5,0.773680678181126,0.679125352127829
"mmu.miR.100.000437",-1.18513319488946,0.279607417012723,4,5,0.494389360444705,0.396121986641499
"mmu.miR.101a.002253",-2.14056385937047,0.0657786157489463,5,5,0.675436279070614,0.647460549924198
"mmu.miR.103.000439",-2.1650854517918,0.0633019742170449,5,5,0.510101880231005,0.422615034477661
"mmu.miR.106a.002459",0.591561374045947,0.581349064757263,5,5,1.15577446641312,1.03585638414334
"mmu.miR.106b.000442",-1.65686147691806,0.136144490056711,5,5,0.708748709230232,0.685283661119258
"mmu.miR.10a.000387",2.33893648286477,0.0678270064702971,5,5,1.60816766729139,1.56182433337421
"mmu.miR.10b.002218",0.775316116547238,0.483595832897237,4,5,1.47538518017998,1.37394818354539
"mmu.miR.124.001182",0.731963259092456,0.497527320143269,4,4,1.4958600400976,1.27415404942364
"mmu.miR.125a.5p.002198",2.59152883353104,0.0491867951481245,5,5,2.48540680019408,2.34590824391582
"mmu.miR.125b.5p.000449",0.520514122371248,0.617542672728013,5,5,1.3222817672675,1.53195105244785
"mmu.miR.126.3p.002228",0.00755923514910402,0.994182043678169,5,5,1.00192851976215,1.07260880871293
"mmu.miR.128a.002216",1.26588504801115,0.265217854246784,4,5,2.06109297718046,2.23976776663632
"mmu.miR.130a.000454",-0.319363260365321,0.759476109039656,4,5,0.852181502005228,0.703182758115057
"mmu.miR.130b.000456",0.961749208777513,0.369047033126601,5,5,1.24378717014059,1.34482886526204
"mmu.miR.139.5p.002289",-1.11043708264424,0.300605998103505,5,5,0.799524612517156,0.8007301282608
"mmu.miR.140.001187",0.408756495991438,0.696351385303233,5,5,1.07195970168532,1.10694857055975
"mmu.miR.141.000463",-1.32118864877752,0.229593597575103,5,5,0.804197409642965,0.816542789682941
"mmu.miR.142.3p.000464",0.107334467263334,0.917556710917962,5,5,1.08425581689356,0.804257509872311
"mmu.miR.145.002278",0.629764838686449,0.548883109776862,4,5,1.17690111162844,1.24256940713496
