"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","X_norm_test","y_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",-1.15751629664957,0.306363878035419,6,0.222222222222222,15,15,0.245650646047955,0.00698563811942506,0.429978424519478,0.54073097665149
"U87.001712",0.220548205152519,0.831057059909364,13,1,15,15,0.625356242583834,0.566150309327423,1.06186259653624,1.10235188459787
"Y1.001727",-0.0609748496845422,0.953579918297222,16,0.547619047619048,15,15,0.791420515255979,0.000800447837976192,0.966520832716515,1.22707374747756
"mmu.let.7b.000378",0.16762254286981,0.872505700291983,15,0.69047619047619,15,15,0.424190045065676,0.14129863093227,1.04156130189108,1.1107118946388
"mmu.let.7c.000379",0.122929952850681,0.905533368248821,16,0.547619047619048,15,15,0.23584332076082,0.0535071254019364,1.02471492878329,1.05436145928475
"mmu.let.7d.002283",-0.345627026041127,0.739173539578354,11,0.841269841269841,15,15,0.407017585397876,0.56553766044346,0.937358946057038,0.94564896114645
"mmu.let.7e.002406",-0.68968693008663,0.520537110013134,13,1,15,15,0.453997784882806,0.164690936168855,0.75217580924916,0.895985320243963
"mmu.let.7g.002282",-0.61671362917702,0.557851524170024,10,0.69047619047619,15,15,0.207999578265587,0.16583998790077,0.846623019007289,0.876971763826768
"mmu.let.7i.002221",-0.564833593108764,0.587964896220268,9,0.547619047619048,15,15,0.0410660462612508,0.123588882738513,0.933668229033506,0.939458798673859
"mmu.miR.100.000437",0.257623598470836,0.804669241208329,13,1,11,13,0.82578334164733,0.665635128344036,1.10484666927841,0.941342709870196
"mmu.miR.101a.002253",-1.18157615746396,0.272108111702045,7,0.30952380952381,14,15,0.144840513358494,0.0796777397138523,0.760675761201022,0.74869140776491
"mmu.miR.103.000439",-1.72007281830478,0.130788632977441,4,0.0952380952380952,14,13,0.525645286338055,0.439916655033673,0.510669235631,0.470602275186341
"mmu.miR.106a.002459",-1.8179432897669,0.107269304350088,5,0.150793650793651,15,15,0.98271021114529,0.443024100506655,0.64785449050652,0.61661272598123
"mmu.miR.106b.000442",0.47907675424179,0.644711509067522,16,0.547619047619048,15,15,0.152867385017995,0.0267303835929308,1.12862951841958,1.13538997659869
"mmu.miR.10a.000387",3.21257119976039,0.0126566469116886,24,0.0158730158730159,15,15,0.709867821212602,0.222401403375804,1.41520293297138,1.42018461723198
"mmu.miR.10b.002218",1.0980852244927,0.332633244960826,15,0.69047619047619,10,11,0.000995441971103675,0.142819377332903,3.0801049708539,2.05821898370322
"mmu.miR.124.001182",0.809822870088746,0.449467994040512,14,0.412698412698413,9,8,0.426096884604006,0.475292997362411,1.30277443866369,0.969148334463715
"mmu.miR.125a.5p.002198",-1.82167454333063,0.118984994251326,5,0.150793650793651,14,14,0.538177507661175,0.37475817467042,0.698923901854988,0.723523350107986
"mmu.miR.125b.5p.000449",0.372011583725283,0.719795489026842,14,0.841269841269841,12,14,0.46460171890337,0.57698199408232,1.1221344136459,1.25817196020528
"mmu.miR.126.3p.002228",-0.403013018197126,0.701640195058781,12,1,12,12,0.300501610439417,0.813125062974084,0.875635284456842,1.02957554302487
"mmu.miR.128a.002216",1.23727324117974,0.274492871584642,18,0.30952380952381,9,12,0.122713648591979,0.399330943411591,1.863306108597,1.60755004136345
"mmu.miR.130a.000454",0.976232628128478,0.376271066496042,15,0.69047619047619,11,14,0.278983746286639,0.759147185137413,1.47261645142902,1.25528155228637
"mmu.miR.130b.000456",1.50145369029564,0.176042354318035,17,0.420634920634921,15,13,0.317052958797107,0.0431528339069226,1.40129238114078,1.43078804871948
"mmu.miR.139.5p.002289",-3.40817362614567,0.00949549469954141,1,0.0158730158730159,15,15,0.970492485706218,0.296868242034599,0.785417397162354,0.782458291926053
"mmu.miR.140.001187",0.169731928042022,0.869684055591464,13,1,14,14,0.843681134342435,0.74663983802711,1.03118942688951,1.05204501763444
"mmu.miR.141.000463",0.131673872906741,0.898566976404529,12,1,15,15,0.197523872837284,0.572371325770941,1.01911092697055,1.01484228100098
"mmu.miR.142.3p.000464",0.113845320898481,0.912946157719716,10,0.69047619047619,11,11,0.190904625975252,0.433263857662777,1.04930561515401,0.860016932509338
"mmu.miR.145.002278",2.13031823129757,0.0816433965448792,21,0.0952380952380952,10,12,0.221079539964367,0.430368029006381,1.8450251936825,1.77602643125943
"mmu.miR.146a.000468",-0.0514379138967506,0.960296381157733,12,1,15,15,0.873510078282529,0.875338587727145,0.99316269292337,0.999089270584633
"mmu.miR.146b.001097",-1.27556540873746,0.241530974578734,6,0.222222222222222,15,15,0.902492697370372,0.0870542171828931,0.778377464665652,0.778259322630439
"mmu.miR.148a.000470",0.233916317456031,0.821446892866791,11,0.841269841269841,15,15,0.0973768282650424,0.099193359009026,1.08248250195407,1.03823363777039
"mmu.miR.148b.000471",0.141550850347144,0.891655341394744,12,1,9,12,0.73804970387225,0.644748094141264,1.05660037572112,0.914233169399923
"mmu.miR.151.3p.001190",0.864247576207492,0.413462213435504,16,0.547619047619048,10,13,0.189001302293087,0.504345296041981,1.20000737450732,1.2044337395551
"mmu.miR.152.000475",-1.60541726803129,0.148202621216636,4,0.0952380952380952,15,15,0.473067004248772,0.529224915287749,0.770696360497624,0.751985548205596
"mmu.miR.155.002571",-0.974518255521028,0.377240079411609,6,0.222222222222222,14,15,0.0102730042055724,0.306458021627096,0.805325149092588,0.900442242788464
"mmu.miR.15b.000390",-0.39003865349218,0.707215476621463,9,0.547619047619048,15,15,0.22468165479092,0.309529131385303,0.930948695721157,0.941087572110434
"mmu.miR.16.000391",-0.577472628999518,0.579505348531668,9,0.547619047619048,15,15,0.538312224101111,0.698874985487371,0.909358243549319,0.909835420645734
"mmu.miR.17.002308",-2.11265843063517,0.0676161174282251,4,0.0952380952380952,15,15,0.723244551380569,0.432415787638571,0.700706136921673,0.683772291021731
"mmu.miR.181a.000480",-1.65681627130553,0.149474384020203,7,0.30952380952381,15,15,0.757223371853635,0.748081697273639,0.623708628084065,0.646382573706398
"mmu.miR.181c.000482",-0.812861851155274,0.449586387258928,11,0.841269841269841,15,15,0.18033786359297,0.452264742765408,0.651227896184561,0.825740314841566
"mmu.miR.182.002599",0.235333409717015,0.820408429645622,14,0.841269841269841,15,15,0.754370874396657,0.0361487878993601,1.03875471937611,1.05199610684436
"mmu.miR.183.002269",-1.11978920896628,0.29644726321516,7,0.30952380952381,13,14,0.4483111001127,0.869470172783271,0.747723416374581,0.743476815350699
"mmu.miR.186.002285",0.18632047544368,0.857418743589066,11,0.841269841269841,15,15,0.168209247289931,0.211076011311757,1.04557494317662,1.03178731335364
"mmu.miR.188.5p.002320",1.84860881419404,0.122796804448222,21,0.0952380952380952,15,13,0.526281568320322,0.0301935957019832,2.227415454791,2.08018662990902
"mmu.miR.18a.002422",-0.965199806768948,0.362825363435703,9,0.547619047619048,12,15,0.206374022315672,0.766035958982731,0.777060197970871,0.745666697492713
"mmu.miR.191.002299",-2.24869239652177,0.0822772789803774,0,0.00793650793650794,15,15,0.173638771396137,0.0599862437100616,0.545323232299734,0.574370694453179
"mmu.miR.192.000491",-0.811024395037955,0.446316832431453,10,0.69047619047619,15,15,0.618553721863116,0.561711443544995,0.860700429260806,0.885235965101253
"mmu.miR.193b.002467",-0.571360958094986,0.584201612155258,10,0.69047619047619,15,15,0.895021890188949,0.0928438128743088,0.897834178910318,0.900959267660137
"mmu.miR.194.000493",1.29048540107369,0.233750602776876,17,0.420634920634921,15,15,0.00145466543417446,0.919405175432009,1.21072398914646,1.21689672911957
"mmu.miR.195.000494",-0.844557935677257,0.424950090963607,10,0.69047619047619,15,15,0.787459743213711,0.38180259118201,0.916604626187407,0.909219018503143
"mmu.miR.196b.002215",-3.11274253452805,0.0206360778045186,1,0.0158730158730159,15,15,0.137775195728703,0.915105891458699,0.620568276867289,0.625920458809475
"mmu.miR.19a.000395",-2.33893664526278,0.0678262338010514,1,0.0158730158730159,15,15,0.15923188410525,0.195344550283834,0.544109393926334,0.57038140982563
"mmu.miR.19b.000396",-2.4055403260579,0.0429106706822677,3,0.0555555555555556,15,15,0.0380936294507384,0.621135918283914,0.773356866246363,0.769313348323312
"mmu.miR.200a.000502",0.712370798468957,0.507474636196258,13,1,15,15,0.149936829767166,0.820959028722198,1.14156435812967,1.09956975577407
"mmu.miR.200b.002251",-0.879172423794246,0.410598105881232,9,0.547619047619048,15,15,0.438489837828121,0.0943019412449214,0.835946780931697,0.850973303868795
"mmu.miR.200c.002300",-1.71578580379128,0.149033034579281,4,0.0952380952380952,15,15,0.011335523594144,0.266624226894529,0.597866895820432,0.637388499784315
"mmu.miR.203.000507",-0.662679470909034,0.531019732146167,8,0.420634920634921,15,15,0.289686695037566,0.871163988347928,0.965976331516099,0.968712216076004
"mmu.miR.205.000509",-1.45104767159181,0.204537346557927,8,0.420634920634921,14,15,0.563384360301477,0.643052737579296,0.712018483936435,0.746451638181175
"mmu.miR.20a.000580",-0.662213206849399,0.527465009849484,9,0.547619047619048,15,15,0.0858313861240691,0.839523301111547,0.912318314564406,0.918393967057343
"mmu.miR.20b.001014",-2.46261641335636,0.0428725831733552,2,0.0317460317460317,15,15,0.035012534177726,0.201225445696727,0.433309414136537,0.40978700595146
"mmu.miR.21.000397",-0.658328477497996,0.531234324348905,7,0.30952380952381,15,15,0.107306470799481,0.737678024282448,0.833001744417312,0.784762645476515
"mmu.miR.215.001200",1.4727630759277,0.179216992349382,18,0.30952380952381,15,15,0.53984659788773,0.343813261475071,1.23318435957429,1.24409121299794
"mmu.miR.218.000521",-2.1969263249233,0.0594364248969662,4,0.0952380952380952,15,15,0.25685693745233,0.642089036671432,0.721607114556616,0.709143361660661
"mmu.miR.222.002276",-2.52304119694151,0.0397817644852488,4,0.0952380952380952,15,15,0.532106502377492,0.383040322877773,0.62479524192481,0.619888892525543
"mmu.miR.224.002553",0.121311603407294,0.906437139651597,13,1,13,15,0.858740283295954,0.45959609856132,1.02021562607,1.02198296945866
"mmu.miR.23b.000400",-0.13464141182378,0.897689377882365,11,0.841269841269841,14,15,0.724531438135433,0.256935239757922,0.970210021600542,1.05124445634765
"mmu.miR.24.000402",-0.65107134103696,0.534749656983381,9,0.547619047619048,15,15,0.637866360762049,0.932090069466877,0.936132890881685,0.929502351762103
"mmu.miR.25.000403",0.202934637146319,0.844282935941517,19,0.222222222222222,15,15,0.00348140074428273,0.000447514660879819,1.0825111402596,1.11538990508401
"mmu.miR.26a.000405",1.00471443966295,0.344456497947353,18,0.30952380952381,15,15,0.374010405463262,0.0431846076189832,1.12710640835319,1.13031106884804
"mmu.miR.26b.000407",-0.246018559270562,0.814908728258541,8,0.420634920634921,15,15,0.469721642444645,0.017154483249936,0.963837330907395,0.934770917834627
"mmu.miR.27a.000408",0.43445293486432,0.676660201244872,15,0.69047619047619,13,12,0.589625436924243,0.365912238159266,1.12052463550666,1.08024310022943
"mmu.miR.27b.000409",0.674772757468316,0.519349857748672,18,0.30952380952381,15,15,0.0175283264237023,0.0489435117268896,1.15691928542209,1.18584532827527
"mmu.miR.28.000411",-1.79195694075415,0.11760313992432,4,0.0952380952380952,14,15,0.23088695261932,0.520757823546989,0.641201125051483,0.651829322842926
"mmu.miR.29a.002112",-0.902041223411845,0.417486259405968,15,0.69047619047619,15,15,0.0066577436967012,0.000142774106202703,0.110018298791745,0.933592115839366
"mmu.miR.29b.000413",1.35895804665875,0.224069863863425,19,0.222222222222222,11,12,0.520679806520445,0.553360807708406,1.89430969325338,1.86789488044547
"mmu.miR.29c.000587",1.0461553165609,0.336098283106299,17,0.420634920634921,15,15,0.667790677915605,0.0942711129322693,1.15748103725486,1.1342449483638
"mmu.miR.301a.000528",-0.464390626222529,0.656211707909631,9,0.547619047619048,15,15,0.0734326995529984,0.612156086352963,0.936165788208432,0.947860442832171
"mmu.miR.301b.002600",-0.723977774464054,0.494907914628281,11,0.841269841269841,15,15,0.943650816317583,0.0947096650643444,0.877685923698542,0.893686674704649
"mmu.miR.30a.000417",0.512693963736559,0.625527626822799,17,0.420634920634921,15,15,0.815162515363876,0.687445550661294,1.04527842679331,1.05327878228085
"mmu.miR.30b.000602",-0.323165042981942,0.756521864292742,14,0.841269841269841,15,15,0.0742841701867631,0.131199155817411,0.935032082817375,0.962097638323665
"mmu.miR.30c.000419",0.369016464808618,0.721743944080034,14,0.841269841269841,15,15,0.623398435616247,0.205569037182519,1.05189832436766,1.05461206271759
"mmu.miR.30d.000420",-1.70379093529979,0.155712678407938,7,0.30952380952381,15,15,0.459329790635818,0.785927115408909,0.585989900504634,0.662413930705755
"mmu.miR.30e.002223",0.48438096085898,0.648795168090504,14,0.841269841269841,15,15,0.84847924131582,0.80209693250842,1.08259812322848,1.13973098056964
"mmu.miR.31.000185",1.97354344753483,0.106385728841281,21,0.0952380952380952,15,15,0.808554394648735,0.910838642908323,1.97071139795823,1.84881199493333
"mmu.miR.320.002277",-0.673564181869487,0.530893014689735,13,1,15,15,0.939208436944591,0.000666579099896419,0.786897827549171,0.862021290710939
"mmu.miR.322.001076",-0.670158334203709,0.521982547153829,9,0.547619047619048,6,13,0.374939830968307,0.753109574140575,0.751222694555444,0.636175693434726
"mmu.miR.324.5p.000539",2.05655324034251,0.100494566868724,21,0.0952380952380952,10,8,0.984217322312146,0.193884011709307,1.7450577011681,1.6196667263063
"mmu.miR.328.000543",0.634214872589441,0.548303256639704,16,0.547619047619048,15,15,0.0628468910596724,0.956783220210651,1.10870230880849,1.14481790237172
"mmu.miR.331.3p.000545",-3.22457680939719,0.0127386890138395,0,0.00793650793650794,15,15,0.254777512885647,0.353921489066211,0.745727576480727,0.738625750387843
"mmu.miR.340.3p.002259",0.172830546338989,0.867115138318628,14,0.841269841269841,13,14,0.661196946621185,0.542143717741327,1.03581326718289,1.03188810289977
"mmu.miR.340.5p.002258",0.510459253078362,0.623733701627836,15,0.69047619047619,13,13,0.404115776094223,0.917938427556249,1.18774083834886,1.23148452621947
"mmu.miR.342.3p.002260",-0.944467596812456,0.398078383675523,13,1,15,15,0.923938544290899,0.0038126761969554,0.531743339848491,0.750960541899101
"mmu.miR.34b.3p.002618",-0.946679647858304,0.389292400292331,8,0.420634920634921,12,10,0.455433883860412,0.0460941629122915,0.506400232661761,0.626716961371909
"mmu.miR.365.001020",-2.593743925618,0.0367997066820072,4,0.0952380952380952,15,15,0.106493179764581,0.00631292007927271,0.453861958417711,0.459313555214319
"mmu.miR.375.000564",-0.655728367714832,0.534639863400327,10,0.69047619047619,15,15,0.375446852436545,0.155244466585873,0.891111375569066,0.908425318459684
"mmu.miR.423.5p.002340",0.794349782563562,0.469907242540267,14,0.841269841269841,9,13,0.0414847731473341,0.715223731001024,1.48776557586494,1.14604846035717
"mmu.miR.429.001077",-2.25689497824833,0.0576465791224339,4,0.0952380952380952,10,13,0.756204620926238,0.818273570549014,0.500629555013409,0.434562588436307
"mmu.miR.484.001821",-2.24932231455923,0.0854675712580552,6,0.222222222222222,15,15,0.296483530040325,0.188390703992561,0.463594682487921,0.530861069755215
"mmu.miR.532.3p.002355",-0.851435736954709,0.439220535777617,12,1,15,14,0.296651425831873,0.290895781513635,0.782467848524887,0.884567193040723
"mmu.miR.532.5p.001518",1.39376132474342,0.207087811231799,19,0.222222222222222,14,15,0.742952143190136,0.970787449580857,1.43517764213162,1.42511072844008
"mmu.miR.574.3p.002349",-2.20069104294807,0.0847956419998798,2,0.0317460317460317,15,15,0.00407563049684904,0.0445194337343318,0.523480403782279,0.552925647019989
"mmu.miR.652.002352",0.436570980639761,0.673981666210609,17,0.420634920634921,15,14,0.355451470685019,0.56142877536825,1.10635180626971,1.11110441415241
"mmu.miR.671.3p.002322",-1.73645923788939,0.136304157383829,6,0.222222222222222,11,14,0.316482072219315,0.570352931943449,0.542580376445747,0.56805753316252
"mmu.miR.744.002324",0.660596962918181,0.536603425173571,14,0.841269841269841,15,15,0.418869885444504,0.367321038152329,1.07578727522629,1.06040340203284
"mmu.miR.7b.002555",0.331043141089504,0.751447060798276,13,1,14,15,0.173421318260405,0.474075111613899,1.13114607545735,1.02902671051429
"mmu.miR.872.002264",2.01088878860285,0.112021489778337,20,0.150793650793651,15,15,0.6827510097296,0.395267058012741,2.31286384391327,1.70912965003131
"mmu.miR.92a.000430",-3.60411357448312,0.0162944674779334,0,0.00793650793650794,15,15,0.509375554531383,0.750437278664896,0.671417496269236,0.678867381376118
"mmu.miR.93.001090",-1.70814507229306,0.148805874595573,6,0.222222222222222,15,15,0.545893772957013,0.406606873649502,0.623348652791592,0.664298903743003
"mmu.miR.99a.000435",0.403591212698975,0.697962757813563,14,0.841269841269841,10,14,0.924198994756162,0.781443336864324,1.16235581522486,1.34287659921365
"mmu.miR.99b.000436",-0.792474696372485,0.451811583425932,10,0.69047619047619,14,15,0.436108886979868,0.999045168433868,0.862820637548779,0.869520394774091
"rno.miR.190b.002048",1.67618989397583,0.14359322071727,21,0.0952380952380952,15,15,0.240314811037313,0.131973113089851,1.66645981658721,1.6219531395466
"rno.miR.196c.002049",-1.65335019700838,0.137339350873093,5,0.150793650793651,15,15,0.793192431078266,0.279462172771065,0.826805927074123,0.824816708648337
"rno.miR.224.000599",-0.494319110401437,0.636240788533654,13,1,15,15,0.490583509368232,0.010820704728332,0.857137595549103,0.869251546654133
"rno.miR.345.3p.002061",0.807779322198967,0.448144668681427,19,0.222222222222222,12,14,0.37137346522927,0.0699629482916556,1.19574421671367,1.25732905590545
"snoRNA135.001230",-0.260603364038391,0.800983160710564,11,0.841269841269841,15,15,0.54576877526568,0.857442865737258,0.947698181173691,0.941300921711007
"snoRNA202.001232",-1.09977308023443,0.30969467528147,8,0.420634920634921,15,15,0.332141079935948,0.979704189623395,0.789928862345269,0.81358148127707
