"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",0.234784180303544,0.820497038526243,5,5,1.12710776658323,1.0382176722183
"U87.001712",1.09491980563602,0.325838912427113,5,5,1.63786621893211,1.35588728258631
"Y1.001727",0.960342849540882,0.382210714013631,5,5,2.31124490940815,1.94568485050157
"mmu.let.7b.000378",-0.0311539233645122,0.976085835966737,5,5,0.989362000367137,1.38319930630984
"mmu.let.7c.000379",0.407969271989695,0.694114622228155,5,5,1.10473659691876,1.11887622679409
"mmu.let.7d.002283",-0.502775624108005,0.629454118604844,5,5,0.852533332124625,0.866815496362675
"mmu.let.7e.002406",-0.796142533930409,0.458049223490806,5,5,0.708871521417224,1.35523613977106
"mmu.let.7g.002282",-1.25038580283839,0.262679611308467,5,5,0.610207408798888,0.817877822468881
"mmu.let.7i.002221",-0.0859972602935676,0.934077696320966,5,4,0.970841089106222,0.807327585090514
"mmu.miR.100.000437",-2.02885709003366,0.114707932086166,4,4,0.195397856994966,0.128416129837892
"mmu.miR.101a.002253",-0.221548862888224,0.833264016058886,5,4,0.952864927163416,0.88131785660485
"mmu.miR.103.000439",-1.02337374059846,0.340189974748359,5,4,0.641186638346281,0.502756972211616
"mmu.miR.106a.002459",-2.42206665390032,0.0719263030468932,5,5,0.120375793866673,0.175912224846451
"mmu.miR.106b.000442",0.0122621446037695,0.990546145599531,5,5,1.00413963824967,1.30600013876001
"mmu.miR.10a.000387",0.129564355718111,0.900295944992229,5,5,1.0336157245638,1.02058917889115
"mmu.miR.10b.002218",-1.81762021698381,0.165923222898328,3,4,0.064852132183395,0.106950757020236
"mmu.miR.124.001182",-0.17259181758214,0.874835951389627,2,3,0.917015812724495,1.24486716349937
"mmu.miR.125a.5p.002198",-2.25775151305403,0.0546374021188874,5,5,0.515844413115006,0.417849711161194
"mmu.miR.125b.5p.000449",-2.33246708151505,0.0931202566569534,2,4,0.439876123805616,0.431212339265456
"mmu.miR.126.3p.002228",0.103203428337075,0.925089148031372,5,3,1.0494548972497,1.24404179087332
"mmu.miR.128a.002216",NA,NA,NA,NA,NA,NA
"mmu.miR.130a.000454",-1.58581756374614,0.181439837087699,3,4,0.406426629500935,0.253685451671024
"mmu.miR.130b.000456",1.41439915182146,0.19878372126241,5,5,1.74115455128361,1.79327935931669
