"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",-1.15237208007245,0.287112415479535,5,5,0.721366594303792,0.722744608606247
"U87.001712",1.2800196209063,0.237524206087739,5,5,1.24772774729517,1.24329310170467
"Y1.001727",0.663845460555184,0.525751207673797,5,5,1.31593085925291,1.53222444911575
"mmu.let.7b.000378",0.441076455484709,0.67527498184997,5,5,1.14914514531287,0.793623607898915
"mmu.let.7c.000379",0.825840384807035,0.433034221243609,5,5,1.19482073758238,1.22098175893766
"mmu.let.7d.002283",0.0874338504498902,0.932672886328118,5,5,1.03087782289199,0.875836965804438
"mmu.let.7e.002406",-0.0135334055677572,0.989539579497595,5,5,0.993819065437686,0.655852477482747
"mmu.let.7g.002282",0.0648062684956801,0.949973216754718,5,5,1.02168147195604,1.06640514571909
"mmu.let.7i.002221",-0.899365834747561,0.39483806519196,5,5,0.739806046818899,0.647598184868126
"mmu.miR.100.000437",-1.51642337059037,0.182833743446431,3,5,0.362271524416077,0.261219815142964
"mmu.miR.101a.002253",-0.924955962651762,0.3867373360895,4,5,0.755221408832035,0.723433682538245
"mmu.miR.103.000439",1.39492205516664,0.215514655545259,4,4,1.71299201974126,2.29892565344861
"mmu.miR.106a.002459",-2.47460535050284,0.0674370656286252,5,5,0.143733424939904,0.192742956723701
"mmu.miR.106b.000442",0.289360888695467,0.781837002628444,5,5,1.0864947075233,1.00849060688293
"mmu.miR.10a.000387",0.520322905246937,0.616954684757807,5,5,1.11514096343998,1.13202203975065
"mmu.miR.10b.002218",-0.156867976376104,0.882232699428459,3,5,0.875280445681386,1.00384578819066
"mmu.miR.124.001182",-1.67910043055511,0.219513303026118,3,3,0.234095868080064,0.235630322648932
"mmu.miR.125a.5p.002198",-0.928986208780015,0.400110151258605,4,5,0.484121930611202,0.757731529325391
"mmu.miR.125b.5p.000449",1.36747469423815,0.208684797060045,5,5,1.6353446181388,1.89161231878162
"mmu.miR.126.3p.002228",0.74222228560722,0.586103780500307,2,3,1.95625480923595,1.59358063754294
"mmu.miR.128a.002216",-1.62391583131609,0.175079627738423,4,3,0.427303209133691,0.2502709992878
"mmu.miR.130a.000454",-0.812972765089342,0.454439895250123,4,4,0.667993250758283,0.783499727770384
"mmu.miR.130b.000456",0.96268313022884,0.368261639533168,5,5,1.40497749907145,1.36613196236567
"mmu.miR.139.5p.002289",-0.457738666623978,0.661049625942175,5,5,0.89400308628164,0.851568592735553
"mmu.miR.140.001187",0.237053987781,0.822674811131125,4,5,1.06249825326882,1.01312934615133
"mmu.miR.141.000463",0.430573565743123,0.678166404316394,5,5,1.09352356931419,1.08664782354348
"mmu.miR.142.3p.000464",0.910716461644181,0.47515405969323,2,4,1.61154868981339,1.80827632542281
"mmu.miR.145.002278",0.980878867358927,0.38111012129795,4,5,1.62213489254554,1.44301078486936
"mmu.miR.146a.000468",3.15865914533637,0.0165816535304897,5,5,1.65358973786801,1.64911321576347
"mmu.miR.146b.001097",-0.210476404628153,0.838689660086437,5,5,0.930020453667328,0.870874928806936
"mmu.miR.148a.000470",-0.259006903074185,0.802414545706955,5,5,0.939584356561837,0.916711989178421
"mmu.miR.148b.000471",-1.11534331984531,0.331521915815568,4,4,0.371458074218429,0.276139821152814
"mmu.miR.151.3p.001190",-0.71749864076931,0.517813419046285,3,4,0.6636637722221,0.812038561162541
"mmu.miR.152.000475",-1.36617903764023,0.232241819617056,5,5,0.526739371188445,0.599606882583154
"mmu.miR.155.002571",-1.0013650285495,0.345982764567413,5,5,0.736692619194724,0.648023860693902
"mmu.miR.15b.000390",-0.348154337691269,0.736832352600098,5,5,0.919345808447356,0.878456435498402
"mmu.miR.16.000391",-0.614954413041109,0.561506415957817,5,5,0.878938036805003,0.82989806400152
"mmu.miR.17.002308",-1.78390851549938,0.113640686377549,5,5,0.702590659898518,0.669025565563209
"mmu.miR.181a.000480",-1.26502115037598,0.266622531043423,5,5,0.581812655069953,0.682141172244085
"mmu.miR.181c.000482",-0.142472107371431,0.890590924834246,5,5,0.942100838115321,1.05220748759432
"mmu.miR.182.002599",-1.65299016806738,0.141664311148247,5,5,0.639008283044513,0.60800793080458
"mmu.miR.183.002269",0.995564968679382,0.367380140779869,4,5,1.25631385688777,1.39401136703265
"mmu.miR.186.002285",0.739793265273763,0.489144931909455,5,5,1.48801014567856,1.36765983588281
"mmu.miR.188.5p.002320",-0.0347372832780202,0.973259080945145,5,4,0.984471858476445,0.878189007498284
"mmu.miR.18a.002422",0.911970500483959,0.406552756245334,4,5,1.28837749986431,1.22125754740085
"mmu.miR.191.002299",-1.6951678447888,0.162000914911327,5,5,0.712742486783636,0.756281402285469
"mmu.miR.192.000491",-0.57539779390905,0.581006360836514,5,5,0.880209304420406,0.880410250144635
"mmu.miR.193b.002467",-0.666893243317168,0.529531838189439,5,5,0.88512369815672,0.911313817754244
"mmu.miR.194.000493",0.894707328713249,0.397351628015393,5,5,1.21828754096225,1.21857077604177
"mmu.miR.195.000494",-1.52382455002739,0.166736074789142,5,5,0.752566085153776,0.724642259066831
"mmu.miR.196b.002215",-0.651305955823998,0.53329233147916,5,5,0.808136284991348,0.769703358425927
"mmu.miR.19a.000395",-0.639897025768687,0.54278157855218,5,5,0.851656628878797,0.872635485632752
"mmu.miR.19b.000396",-1.68090940902565,0.158288111581879,5,5,0.755536432824754,0.707461256283329
"mmu.miR.200a.000502",-0.122916817843791,0.905221150000046,5,5,0.977183903640731,0.976345754650602
"mmu.miR.200b.002251",-0.592403774357427,0.575458668356152,5,5,0.851581028312113,0.648852223910588
"mmu.miR.200c.002300",-1.04202438191333,0.328245902332294,5,5,0.764725290182869,0.69474865765992
"mmu.miR.203.000507",-1.27160976170495,0.239392112313841,5,5,0.817225220590571,0.81338508799775
"mmu.miR.205.000509",-1.75541501024384,0.117271142861199,5,5,0.642064281209799,0.583026694850118
"mmu.miR.20a.000580",-0.693853529995954,0.519635707856047,5,5,0.869606149964717,0.808950788825851
"mmu.miR.20b.001014",-0.761731126130436,0.480566142140051,5,5,0.767091948818627,0.549729592011228
"mmu.miR.21.000397",-0.0191881533474826,0.985165026818732,5,5,0.991494671533379,0.736134272754952
"mmu.miR.215.001200",1.11182442488765,0.324424274024391,5,5,1.76096890964346,1.4685759172124
"mmu.miR.218.000521",-0.845489147507873,0.422403792183046,5,5,0.800852599878286,0.771945364131321
