"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",0.871025707204356,0.409782051293196,5,5,1.26054810565324,1.27045359354542
"U87.001712",-1.29812261407291,0.231437928847468,5,5,0.730549076704611,0.717135269699909
"Y1.001727",0.0878102806040264,0.932948832821369,5,5,1.03751864226177,0.920032658068828
"mmu.let.7b.000378",-1.01852375760925,0.338399851473128,5,5,0.83481622218628,0.812994207594024
"mmu.let.7c.000379",-1.14977168954099,0.283723417586687,5,5,0.813989250736639,0.797573166958725
"mmu.let.7d.002283",-1.86246126626361,0.110943784020978,5,5,0.805320240190463,0.814139983712843
"mmu.let.7e.002406",0.0182236109709246,0.98620915884575,5,5,1.00547974390433,0.861069849879094
"mmu.let.7g.002282",-0.139751350884228,0.893994445965271,5,5,0.955077910012353,0.843681386855661
"mmu.let.7i.002221",-0.327449874324561,0.753273446409428,5,5,0.924905875636665,0.83512888962875
"mmu.miR.100.000437",-1.63723432357757,0.176334363080981,4,5,0.0841122566098035,0.144077631151542
"mmu.miR.101a.002253",0.917820932961514,0.390080834616545,5,5,1.2309614400251,1.21168188250179
"mmu.miR.103.000439",-1.24466281518935,0.251403765557905,5,5,0.584236645454567,0.524213924337803
"mmu.miR.106a.002459",-2.07678009075069,0.103598250476363,5,5,0.240549894570073,0.323575118126087
"mmu.miR.106b.000442",-0.202720156047276,0.845651933272556,5,5,0.960839770437137,0.920978880640814
"mmu.miR.10a.000387",1.36754107001871,0.216825183304797,5,5,1.32272022800537,1.30503018707778
"mmu.miR.10b.002218",-1.2330277066717,0.273476356819659,4,5,0.401155230409681,0.643095179522966
"mmu.miR.124.001182",-1.16622840383923,0.318373680315659,4,4,0.361514393216492,0.454919810666845
"mmu.miR.125a.5p.002198",1.61677520543682,0.157718413722026,5,5,1.65193566091674,1.56444894023967
"mmu.miR.125b.5p.000449",0.629218473844306,0.557919036155321,5,5,1.32050838163007,1.07721063624099
"mmu.miR.126.3p.002228",-3.88269068400956,0.042927266450237,5,3,0.368641760643133,0.362887507939161
"mmu.miR.128a.002216",-1.50416840337331,0.370955796631895,4,2,0.137045221337404,0.139445931522182
"mmu.miR.130a.000454",-0.883594201112098,0.412955801064268,4,5,0.544306588543695,0.541140448537117
"mmu.miR.130b.000456",1.79732473639515,0.126913314912446,5,5,1.27570015539931,1.25598704000619
"mmu.miR.139.5p.002289",-1.53633175716991,0.16518423189443,5,5,0.740097618157957,0.737684577213483
"mmu.miR.140.001187",3.1188700584533,0.016971764701817,5,5,1.42614846322535,1.42605198913074
"mmu.miR.141.000463",-0.0866278376621814,0.933390386280786,5,5,0.985031830721913,1.01520056595628
"mmu.miR.142.3p.000464",0.0255796883169279,0.980545145509306,5,4,1.01689867660117,0.566115619226493
"mmu.miR.145.002278",-1.27324416785736,0.26177689837957,4,5,0.591193289362222,0.692716157330258
"mmu.miR.146a.000468",1.94477794292133,0.116433834268391,5,5,1.76607669645276,1.67420962732435
"mmu.miR.146b.001097",-1.07386726894794,0.326826226973565,5,5,0.794269417199334,0.852793164845204
"mmu.miR.148a.000470",-1.24220728567193,0.250459834106228,5,5,0.701019764950022,0.688023419588891
"mmu.miR.148b.000471",1.43900444455344,0.220856862354323,4,3,1.74474614279463,1.55330827496902
"mmu.miR.151.3p.001190",1.28311608322053,0.242983831208661,4,5,1.47445323327436,1.71695244504881
"mmu.miR.152.000475",-1.14922479660029,0.283881704809151,5,5,0.796713554629956,0.762679368221532
"mmu.miR.155.002571",0.465005173030864,0.656966506193343,5,4,1.26015585625488,1.12858507322047
"mmu.miR.15b.000390",-0.906171980046216,0.412480683494563,5,5,0.932450365977935,0.919852201981812
"mmu.miR.16.000391",0.0676630242236815,0.948341184676394,5,5,1.01711609634609,1.26508925891015
"mmu.miR.17.002308",-0.15394108192097,0.881846964622025,5,5,0.964553882807551,0.901360278054836
"mmu.miR.181a.000480",-2.32718211796711,0.0590788204654078,5,5,0.564450551345552,0.566702855836164
"mmu.miR.181c.000482",1.5715213632224,0.182221745213703,5,5,2.07948809860604,1.78608183580356
"mmu.miR.182.002599",0.07238116013026,0.944123017088214,5,5,1.01093675470226,1.00920256527693
"mmu.miR.183.002269",0.839134977269469,0.442468597400845,4,5,1.37378399651561,1.34944060743113
"mmu.miR.186.002285",1.3019934680662,0.22992729831919,5,5,1.390180838218,1.47962950820775
"mmu.miR.188.5p.002320",0.459397483637092,0.664366199083459,5,5,1.17405551490788,1.41678729387035
"mmu.miR.18a.002422",0.0492356016289049,0.962014214434707,5,5,1.01468237073388,0.946626080429742
"mmu.miR.191.002299",-0.169774405094522,0.869630939986143,5,5,0.963632876981247,0.987343762377151
"mmu.miR.192.000491",-0.492972008642231,0.635615563006257,5,5,0.885561251045042,0.915938462294385
"mmu.miR.193b.002467",-1.00402591222813,0.350649889822573,5,5,0.745722090956556,0.777069735218151
"mmu.miR.194.000493",0.346794337006415,0.737693067465868,5,5,1.06775708508099,1.07677362573556
"mmu.miR.195.000494",-0.803204956144774,0.447031387358042,5,5,0.88133588951889,0.859195283526954
"mmu.miR.196b.002215",-0.382771185583425,0.712402856562969,5,5,0.897305723716696,0.707929979625894
"mmu.miR.19a.000395",0.0380745825080468,0.970663993678587,5,5,1.00632819797824,1.0244285594366
"mmu.miR.19b.000396",-1.06324275381813,0.321581437695529,5,5,0.852245533432045,0.856930542681369
"mmu.miR.200a.000502",0.652532218974444,0.533709941021782,5,5,1.13476167957334,1.12532941397392
"mmu.miR.200b.002251",-2.24301588561554,0.0594708915881264,5,5,0.613005658645582,0.585435030105027
"mmu.miR.200c.002300",-1.58445580892813,0.158902767724286,5,5,0.621661163379463,0.598332601505622
"mmu.miR.203.000507",-1.2555869415908,0.251501863433264,5,5,0.898284942772167,0.890679798987756
"mmu.miR.205.000509",-1.0252529071305,0.342573924811044,5,5,0.777430577707336,0.804525233780561
"mmu.miR.20a.000580",-1.07897479596296,0.313514610024602,5,5,0.890327232611277,0.892021988694319
"mmu.miR.20b.001014",0.201726579401977,0.847254689747112,5,5,1.03419926005068,1.00074067902506
"mmu.miR.21.000397",-0.255284675115817,0.805709650345908,5,5,0.91123582001883,0.84720098902617
"mmu.miR.215.001200",0.430164316853308,0.682290091208003,5,5,1.08417839190739,1.03566942185247
"mmu.miR.218.000521",-1.29131847006593,0.2376216876513,5,5,0.773942955676493,0.784263508308245
"mmu.miR.222.002276",0.369515500837568,0.721561985554514,5,5,1.08324702435157,1.10999561611866
"mmu.miR.224.002553",-1.30513011798468,0.233407106033783,4,5,0.700621571558346,0.716801905518022
"mmu.miR.23b.000400",-0.0855494098087694,0.934149304537625,5,5,0.969969667127232,0.93747828657188
"mmu.miR.24.000402",0.0840473966754524,0.935369324948141,5,5,1.01227180621874,0.988222342320408
"mmu.miR.25.000403",1.03788542797938,0.331664805790152,5,5,1.33068551596648,1.37596233477799
"mmu.miR.26a.000405",0.350500596878686,0.740885893734964,5,5,1.04858436380934,1.01543660897187
"mmu.miR.26b.000407",-2.21687885747444,0.0607622015585558,5,5,0.635098332784202,0.590498286472123
"mmu.miR.27a.000408",0.00493502182357556,0.996249163118181,4,5,1.00204963854624,0.876638702906045
"mmu.miR.27b.000409",-0.545405507605088,0.600363621049172,5,5,0.89606627519968,0.888228506530217
"mmu.miR.28.000411",-1.73182243175014,0.127062419031847,5,5,0.569803167983683,0.461143535777237
"mmu.miR.29a.002112",1.42778660879514,0.225499900619079,5,5,4.41907184357256,2.7697024178996
"mmu.miR.29b.000413",-0.956852560378266,0.376672601761789,5,4,0.61873396997832,0.556847779960336
"mmu.miR.29c.000587",0.927918162906185,0.384523116581156,5,5,1.27472199861736,1.22486723267263
