"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","XY_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",0.621257627786705,0.55383653843504,14,0.841269841269841,15,15,0.0153111326440829,1.22297684142538,1.16936627140619
"U87.001712",0.272145717217409,0.794415473267483,12,1,15,15,0.812235997356477,1.05703057609492,1.01238900817254
"Y1.001727",1.32561533016165,0.23671421694707,18,0.30952380952381,15,15,0.496151879620864,1.47357119874771,1.38839933927326
"mmu.let.7b.000378",-0.253190649631792,0.807192472955939,10,0.69047619047619,15,15,0.706604984191064,0.955569926019952,0.970157874985815
"mmu.let.7c.000379",0.250084012522303,0.808997583777509,14,0.841269841269841,15,15,0.0490627901573777,1.03836263710765,1.03271967869626
"mmu.let.7d.002283",-0.718185552827653,0.49321748700382,11,0.841269841269841,15,15,0.882415922637859,0.889805293398155,0.88218512711635
"mmu.let.7e.002406",-0.552343229236034,0.596090604611512,11,0.841269841269841,15,15,0.23418867932038,0.876560884822579,0.880539839963164
"mmu.let.7g.002282",-0.792416967960402,0.452208401015132,8,0.420634920634921,15,15,0.134201260954505,0.834424940327012,0.842427819895054
"mmu.let.7i.002221",-1.08857734929306,0.310696334556882,6,0.222222222222222,15,14,0.0576781009176287,0.868615134675079,0.873356946256532
"mmu.miR.100.000437",-1.80807747751473,0.14267089996337,7,0.30952380952381,11,14,0.00150715017623514,0.1787516551261,0.29971344474841
"mmu.miR.101a.002253",-0.542708217717854,0.602126835134208,8,0.420634920634921,14,14,0.177636116673828,0.881549782361637,0.86949474607677
"mmu.miR.103.000439",-0.839445890409028,0.425686125288271,8,0.420634920634921,14,13,0.469454568643911,0.733310392942244,0.672233474645902
"mmu.miR.106a.002459",-2.5506447726778,0.0622593787334045,2,0.0317460317460317,15,15,0.00159593498500874,0.153669972166578,0.2014302347031
