"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",0.820447460454639,0.436267733222278,5,5,1.43275730186784,1.49835404388372
"U87.001712",0.841799283029072,0.431712573739458,5,5,1.309244585662,1.18222362556842
"Y1.001727",0.594925592654324,0.580099473380217,5,5,1.98073202587598,0.803086981281124
"mmu.let.7b.000378",-0.164429200919399,0.873809344455624,5,5,0.918708469147219,0.914656380787489
"mmu.let.7c.000379",0.419912562939114,0.688072317092074,5,5,1.14129941862441,1.07636751569165
"mmu.let.7d.002283",-0.40108996254601,0.699129778107394,5,5,0.856494658849263,0.771110199952476
"mmu.let.7e.002406",0.403838972749544,0.700680224369086,5,5,1.30178292860155,1.64487181476921
"mmu.let.7g.002282",-0.0932045390585172,0.928035260653949,5,5,0.961551662487413,1.14489457429698
"mmu.let.7i.002221",0.200252479072467,0.847703597766732,5,4,1.04638231661206,1.05976544944275
"mmu.miR.100.000437",-2.30137504803347,0.101362278052272,4,4,0.139513706051747,0.194677147857437
"mmu.miR.101a.002253",0.607350337543845,0.567897024654149,5,4,1.11202895378901,1.06562678356933
"mmu.miR.103.000439",-0.242382212611135,0.824714111727124,3,4,0.868757475771634,0.686925128209821
"mmu.miR.106a.002459",-2.00332454617853,0.111965038458226,5,5,0.264380050511633,0.396730922868691
"mmu.miR.106b.000442",-1.03783344122623,0.336655396217039,5,5,0.670588351244354,0.859905100140213
"mmu.miR.10a.000387",-1.0730479672887,0.323409171506243,5,5,0.805235404116597,0.834242060697746
"mmu.miR.10b.002218",-1.53273603797341,0.222490096793488,2,4,0.212282845099067,0.448486687465076
"mmu.miR.124.001182",-1.935956452891,0.189275242945934,2,3,0.159274136375164,0.211321781130537
"mmu.miR.125a.5p.002198",0.942323671730559,0.403938633078284,4,5,1.41869516201364,1.19153283201463
"mmu.miR.125b.5p.000449",0.130538902456049,0.901402544442508,4,4,1.04642476691534,0.961821576659837
"mmu.miR.126.3p.002228",0.862909669943174,0.42795456197869,4,3,1.6451059787965,1.77522853245801
"mmu.miR.128a.002216",-0.850579736175837,0.482639214081342,4,3,0.292353933734929,0.678283998772465
"mmu.miR.130a.000454",-3.04584546959427,0.0428957674870675,5,4,0.221952563285228,0.163283600059504
"mmu.miR.130b.000456",0.213260134974054,0.836497502481938,5,5,1.08813077244311,0.800909283423628
"mmu.miR.139.5p.002289",-0.531631835787899,0.61032044230367,5,5,0.917237567989304,0.919973721233351
"mmu.miR.140.001187",-0.57586626919571,0.582806689123665,5,4,0.855518602516584,0.784291514918676
"mmu.miR.141.000463",-0.00916122487710103,0.992966460783256,5,5,0.998197659674288,1.07920725846525
"mmu.miR.142.3p.000464",-1.03644250830872,0.357503634263445,4,3,0.560610362005443,0.233389123049511
"mmu.miR.145.002278",0.727962829308732,0.525564086345483,4,2,1.63580897604631,1.65160773916458
"mmu.miR.146a.000468",0.182973934841983,0.861981697298255,5,5,1.05699580952826,0.944648135392766
"mmu.miR.146b.001097",0.145253652453812,0.888135953209849,5,5,1.04567770315003,1.05501430237632
"mmu.miR.148a.000470",-1.01041576175769,0.343641385993035,5,5,0.706903614452163,0.685452764576573
"mmu.miR.148b.000471",-0.566356808149717,0.599137494621777,3,4,0.612615134699761,0.620434693411169
"mmu.miR.151.3p.001190",0.0387461713361882,0.97034993916443,4,4,1.00957802459834,1.00827833290896
"mmu.miR.152.000475",-0.944839244153305,0.388704067889985,5,5,0.620191553810975,0.793132802636347
"mmu.miR.155.002571",1.8378958155635,0.119257323290343,5,4,2.65547586027299,2.45478119986764
"mmu.miR.15b.000390",-0.421887097998917,0.685877537661424,5,5,0.873202782483855,0.77411776181562
"mmu.miR.16.000391",-0.203084579825414,0.844568176005825,5,5,0.940614342789445,0.91145425562803
"mmu.miR.17.002308",1.36329148538006,0.214773145252761,5,5,1.31375007450857,1.29950371356983
"mmu.miR.181a.000480",0.161414062367809,0.877687745383044,5,5,1.0529579230323,1.47521655483617
"mmu.miR.181c.000482",1.50210900943599,0.196043405184178,5,5,1.93750622612086,1.64351674160965
"mmu.miR.182.002599",-0.916184010987842,0.389421600439886,5,5,0.750129337141642,0.744486481211211
