"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",1.1918875193912,0.298690534285942,5,5,4.75887906015954,2.73209135752984
"U87.001712",0.880429825513729,0.422224334785107,5,5,1.41166034361481,1.17572888789388
"Y1.001727",0.275930484715039,0.793087653769649,5,5,1.23126894365245,0.784454799680726
"mmu.let.7b.000378",0.256266578452916,0.805446724371808,5,5,1.07090375077272,1.00204050443412
"mmu.let.7c.000379",-0.145925082027103,0.887606456279651,5,5,0.962724744586042,0.954728099381267
"mmu.let.7d.002283",0.0828077819195484,0.93620670795906,5,5,1.02143804485657,1.06113898320135
"mmu.let.7e.002406",0.243260401105237,0.81487704834259,5,5,1.13330582178635,0.934771741094138
"mmu.let.7g.002282",-0.135425107097698,0.895684217212188,5,5,0.94679878802766,0.806799238147415
"mmu.let.7i.002221",-1.4524467762572,0.190232955439821,5,5,0.632726503738673,0.579226625666832
"mmu.miR.100.000437",-2.31678773236233,0.0806213497356611,4,5,0.138836307064014,0.225553333217857
"mmu.miR.101a.002253",-0.106563922081357,0.918227048628726,5,5,0.963405362343864,0.841126693988341
"mmu.miR.103.000439",1.66378082913556,0.163977522341183,5,4,3.84622786891686,2.90484314062837
"mmu.miR.106a.002459",-2.19996977297046,0.0906402011007255,5,5,0.236582474829039,0.335099496999313
"mmu.miR.106b.000442",-1.09916687915258,0.308443582377516,5,5,0.717254666601219,0.647479502354688
"mmu.miR.10a.000387",-1.05795786990566,0.330733431384699,5,5,0.80937343015772,0.837835794329454
"mmu.miR.10b.002218",-1.77806999112341,0.149219012936003,4,5,0.118241648568953,0.204538389338609
"mmu.miR.124.001182",-0.603991850166949,0.589736739412411,2,3,0.650956056682288,0.845309138435754
"mmu.miR.125a.5p.002198",0.828922326507953,0.434493269205727,5,5,1.53821065135878,2.39560694627103
"mmu.miR.125b.5p.000449",0.747281554962594,0.479129148356121,5,5,1.44372291266564,0.914139834439744
"mmu.miR.126.3p.002228",0.835985931921228,0.474565091390424,3,3,1.5990121922907,1.24107279003886
"mmu.miR.128a.002216",-2.94771768379992,0.0839039815125275,3,3,0.165500328735733,0.140721346231832
"mmu.miR.130a.000454",-1.08545476477144,0.332781356621176,4,4,0.569885023700134,0.669755975886018
"mmu.miR.130b.000456",-0.165660370798343,0.878919733560067,3,5,0.914113141965993,0.711548816863222
"mmu.miR.139.5p.002289",0.956589184963931,0.383845540488103,5,5,1.12966253090898,1.16269478225026
"mmu.miR.140.001187",-1.9113094238919,0.116228605506573,4,5,0.750713218193063,0.770101041211463
"mmu.miR.141.000463",-0.566748176603582,0.586430390950491,5,5,0.879452846001991,0.864212034462126
"mmu.miR.142.3p.000464",0.943469903992346,0.501936022614804,2,4,2.19279361768412,2.19417404062541
"mmu.miR.145.002278",-1.26471007265007,0.252879300941387,3,5,0.614309654772702,0.66530837407697
"mmu.miR.146a.000468",2.29702054007838,0.0641475553762977,5,5,1.60982843568259,1.57127448481102
"mmu.miR.146b.001097",0.978643092785542,0.358140067876007,5,5,1.34421869437723,1.36026489479422
"mmu.miR.148a.000470",-0.277070725858222,0.792123422389454,5,5,0.893340612148031,0.643050268785852
"mmu.miR.148b.000471",-0.665780395695776,0.545432192763429,5,4,0.627648425855795,0.886624790805907
"mmu.miR.151.3p.001190",-0.490740565799904,0.645170595791652,4,4,0.745236266959668,0.816205567673553
"mmu.miR.152.000475",-1.21990535896661,0.275965677387176,5,5,0.570489278761148,0.629399625349148
"mmu.miR.155.002571",-0.572303818738816,0.582837310814623,5,5,0.8484017316384,0.756168796047125
"mmu.miR.15b.000390",0.0480749113570106,0.962913344948306,5,5,1.0093111146153,1.03533053256036
"mmu.miR.16.000391",-0.10235779992255,0.921006694154417,5,5,0.986649122655541,0.983324590131889
"mmu.miR.17.002308",0.60591538936269,0.562177395942913,5,5,1.1030978396148,1.10259917426755
"mmu.miR.181a.000480",-0.545439066132931,0.601792977216693,5,5,0.785379504188517,0.802050525660777
"mmu.miR.181c.000482",0.273743437109913,0.795162712054993,5,5,1.26572516277732,0.629752999709472
"mmu.miR.182.002599",-1.00024090456568,0.357030050655405,5,5,0.799923463689041,0.831273442530287
"mmu.miR.183.002269",0.796900723394015,0.448597918053224,5,5,1.28606722370564,1.29684748580175
"mmu.miR.186.002285",0.969695490653086,0.363294004141271,5,5,1.33008609362571,1.50278833932474
"mmu.miR.188.5p.002320",-1.73333468537463,0.143721542225164,4,4,0.406875320488015,0.367999900777489
"mmu.miR.18a.002422",0.16155077530636,0.876153899153236,5,5,1.04214124502071,0.982901824165723
"mmu.miR.191.002299",1.13004013479118,0.313983627558842,5,5,1.71796451371558,1.47764696504083
"mmu.miR.192.000491",0.0286527816572584,0.977871518622878,5,5,1.00571455964817,1.02908961934438
"mmu.miR.193b.002467",0.277045609214673,0.789743688515486,5,5,1.07582307268357,1.04476641599703
"mmu.miR.194.000493",-0.13062156701402,0.90005439012091,5,5,0.975328702790966,0.996506296786619
"mmu.miR.195.000494",-0.960371183775502,0.365730573098416,5,5,0.865608179790679,0.866985053092135
"mmu.miR.196b.002215",1.26147306618876,0.242693230049164,5,5,1.3483678792973,1.47804954159638
"mmu.miR.19a.000395",1.35657308327206,0.218844832686231,5,5,1.4958236336528,1.47166471754811
"mmu.miR.19b.000396",-0.928642938646728,0.399390071144969,5,5,0.859541366998455,0.802469144705909
"mmu.miR.200a.000502",0.490405846373708,0.637033372714929,5,5,1.08936611654595,1.09911155905756
"mmu.miR.200b.002251",-0.749479215699856,0.475252605719853,5,5,0.885692983896215,0.884322208899008
"mmu.miR.200c.002300",0.300263774140413,0.774600324973442,5,5,1.10529758486066,1.01228857923135
"mmu.miR.203.000507",-1.6542158758418,0.139543210537994,5,5,0.78241678722029,0.782613458928312
"mmu.miR.205.000509",-0.145499036873567,0.888848307310098,5,5,0.957038817910845,0.861338621398247
"mmu.miR.20a.000580",-1.35307546406508,0.219941151237967,5,5,0.85064162297023,0.834048061763421
"mmu.miR.20b.001014",1.84878292498856,0.12737355077029,5,5,1.66489927937484,1.56838290943394
"mmu.miR.21.000397",-1.19065798710955,0.275699323877525,5,5,0.588280372392006,0.510033751605611
"mmu.miR.215.001200",0.34247710951437,0.743554467875885,5,5,1.05075353846228,1.0763450361034
"mmu.miR.218.000521",-0.806100560210123,0.443976568911822,5,5,0.822368664870962,0.813844248218146
"mmu.miR.222.002276",1.3081465742802,0.247935369982625,5,5,1.39929299546099,1.32786016457715
"mmu.miR.224.002553",-1.35443974660529,0.217795406372484,5,5,0.652976283272511,0.629164173909243
