"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",-1.06652495846211,0.319003664611619,5,5,0.737878373771327,0.732863736262369
"U87.001712",-2.00982412664074,0.0892929300482196,5,5,0.634968972445554,0.633783138432213
"Y1.001727",0.973652154761437,0.36598002218882,5,5,1.37601377625665,1.35633296118793
"mmu.let.7b.000378",-0.973104699201044,0.359032733013718,5,5,0.850678650448835,0.844991763207689
"mmu.let.7c.000379",-0.464932071917402,0.654388348845907,5,5,0.927035030727221,0.914003366084331
"mmu.let.7d.002283",-0.0301115926200451,0.976890269382909,5,5,0.994486865501319,0.960349724346212
"mmu.let.7e.002406",0.856469684357274,0.433152047669331,5,5,1.25538377518861,1.15946348315462
"mmu.let.7g.002282",0.792791606945735,0.454306423872561,5,5,1.17727894206053,1.13236038511484
"mmu.let.7i.002221",1.40351968470182,0.20836688706422,5,5,1.19546203197301,1.2297124338123
"mmu.miR.100.000437",-1.47718090249272,0.211967571133333,5,5,0.170133630169841,0.36372035890534
"mmu.miR.101a.002253",3.68448757151529,0.00693858301839506,5,5,1.82246864459054,1.87143739127217
"mmu.miR.103.000439",0.459721796281847,0.660301290612852,5,5,1.14533325223187,1.24040528985372
"mmu.miR.106a.002459",-2.18601719266168,0.0938519573673653,5,5,0.208128749648369,0.312374498124744
"mmu.miR.106b.000442",1.82249548254561,0.115555188490196,5,5,1.3556846847463,1.34393818632214
"mmu.miR.10a.000387",-1.28639131728308,0.24366904788983,5,5,0.82250144366676,0.835580647061862
"mmu.miR.10b.002218",-1.57178988286978,0.188990887574888,5,5,0.271898644366716,0.468063633858083
"mmu.miR.124.001182",-1.41501770667703,0.247823608723241,4,4,0.241676616478708,0.357036742042791
"mmu.miR.125a.5p.002198",-1.51857671222336,0.172121447781634,5,5,0.664654036026514,0.666884113774321
"mmu.miR.125b.5p.000449",-0.00324720670429875,0.997528530562529,5,5,0.99865884436939,0.703162568098865
"mmu.miR.126.3p.002228",-3.65366154417946,0.0341500637566771,5,3,0.367932196131763,0.338322326827247
"mmu.miR.128a.002216",-1.63146235488589,0.349312393075115,5,2,0.0664915279682719,0.062259102751354
"mmu.miR.130a.000454",-0.716380076882608,0.503762467556383,5,5,0.638721431130472,0.769558755945172
"mmu.miR.130b.000456",0.112830271996996,0.914887233590558,5,5,1.0256579148144,0.933938192768831
"mmu.miR.139.5p.002289",-0.39826756756649,0.700854600426269,5,5,0.925672088852769,0.921264919575022
"mmu.miR.140.001187",1.51335600477385,0.18975377239482,5,5,1.3304123848902,1.28827303007369
"mmu.miR.141.000463",1.06978524684604,0.316076103091092,5,5,1.22486322252546,1.24329132383923
"mmu.miR.142.3p.000464",-0.130776390468506,0.900017310237611,5,4,0.937877077306934,0.703898455752528
"mmu.miR.145.002278",-1.53546734089168,0.186232150548581,5,5,0.502330470691976,0.557486892364008
"mmu.miR.146a.000468",1.28856875278369,0.250734769430813,5,5,1.30917759016893,1.26334597455049
"mmu.miR.146b.001097",-0.623292171246449,0.554885277899329,5,5,0.875313240881149,0.933246684923227
"mmu.miR.148a.000470",0.241329941497298,0.817561976155513,5,5,1.04976546728987,1.10563085561466
"mmu.miR.148b.000471",1.08981302837952,0.339681540732645,4,3,1.66944844594126,1.36286102374215
"mmu.miR.151.3p.001190",-0.585957829553463,0.577415516565699,5,5,0.78786243357197,0.777984969457587
"mmu.miR.152.000475",0.720675143264702,0.494303475906649,5,5,1.15339893860637,1.13952074059989
"mmu.miR.155.002571",0.0277521826097865,0.97867607019873,5,4,1.01522634150958,0.48962576741087
"mmu.miR.15b.000390",1.66907141228741,0.168035981759646,5,5,1.18871167420225,1.16897524898968
"mmu.miR.16.000391",-0.0147985509236549,0.988570755273175,5,5,0.995661447345103,1.16653030200829
"mmu.miR.17.002308",-0.373264184569035,0.723047782418465,5,5,0.945348085031957,0.977382096853647
"mmu.miR.181a.000480",0.628503576314684,0.553215514332664,5,5,1.23310032359482,1.07957912443361
"mmu.miR.181c.000482",1.45712491674274,0.211782663067995,5,5,2.1215494959107,1.65032163853405
"mmu.miR.182.002599",-0.488952363470101,0.639345301282534,5,5,0.917862894292085,0.900777554206631
"mmu.miR.183.002269",1.26973608180201,0.249544427013225,5,5,1.5470706134332,1.49573332417997
"mmu.miR.186.002285",0.192614258545476,0.853118023549875,5,5,1.08542890896247,1.00103775131543
"mmu.miR.188.5p.002320",-0.855383565605634,0.425540542145205,5,5,0.662524828441,0.740631894975666
"mmu.miR.18a.002422",2.88833979907867,0.0335869845098436,5,5,2.51070590551378,2.52298456726868
"mmu.miR.191.002299",-1.14860792534309,0.296785884108882,5,5,0.786396009297367,0.822582328393472
"mmu.miR.192.000491",-0.318532090851168,0.758344185763497,5,5,0.924529271168752,0.946540002803979
"mmu.miR.193b.002467",-1.88759764582716,0.124102981588404,5,5,0.579317335724365,0.62367156259527
"mmu.miR.194.000493",0.00492634547691024,0.996193905618864,5,5,1.00107147682787,0.994775708260752
"mmu.miR.195.000494",-0.346354952431949,0.738142022121336,5,5,0.954148395313759,0.947915513121908
"mmu.miR.196b.002215",0.559821873233081,0.592453241019941,5,5,1.11424335499742,1.14854914066225
"mmu.miR.19a.000395",2.33966200572542,0.068660816888267,5,5,2.05458178564545,1.95344113718927
"mmu.miR.19b.000396",2.01399692766391,0.0788665129567284,5,5,1.32811980971095,1.33983466480419
"mmu.miR.200a.000502",0.741732772057041,0.479460618284517,5,5,1.13134344281442,1.14107307341295
"mmu.miR.200b.002251",-1.30543036528949,0.229648127816806,5,5,0.761336241090296,0.758046883407065
"mmu.miR.200c.002300",-0.615228051940966,0.555835517265672,5,5,0.835255700951641,0.833397099242752
"mmu.miR.203.000507",-0.501388187371727,0.629909683928884,5,5,0.967209797901883,0.965434697903815
"mmu.miR.205.000509",0.430117916954397,0.680883937068463,5,5,1.1571367660851,1.09354423757109
"mmu.miR.20a.000580",-0.890285340766143,0.403650849625989,5,5,0.916054470952111,0.921214601540707
"mmu.miR.20b.001014",2.52188889636464,0.0616628068050936,5,5,2.02837740116941,1.83151432296622
"mmu.miR.21.000397",1.75800318803454,0.129705704113256,5,5,1.76824269733688,1.67774537897809
"mmu.miR.215.001200",0.414546191004906,0.689873075288091,5,5,1.05856744414464,1.04578028931599
"mmu.miR.218.000521",1.9780352438415,0.0932064221349005,5,5,1.32928061254144,1.39287595632233
"mmu.miR.222.002276",0.524344929985438,0.621006057193004,5,5,1.09735563090664,1.1559927771359
"mmu.miR.224.002553",-2.61957121236129,0.0539282503215127,5,5,0.518498279791756,0.561692553767247
"mmu.miR.23b.000400",0.907039546202822,0.391141624659166,5,5,1.24873545845609,1.39794440338067
"mmu.miR.24.000402",-0.736576064303253,0.482796730588688,5,5,0.920310234280752,0.921901412722117
"mmu.miR.25.000403",1.37790082340405,0.214804659735181,5,5,1.53872202810697,1.54725886059009
"mmu.miR.26a.000405",0.49071610210933,0.643676330593465,5,5,1.05595200965554,1.03947134179511
"mmu.miR.26b.000407",-0.384355512612915,0.711077808486758,5,5,0.952036644797378,0.95519579020191
"mmu.miR.27a.000408",-0.337506799631617,0.744465504805098,5,5,0.892805994553923,0.901742974350893
"mmu.miR.27b.000409",1.08392522497645,0.311957587635294,5,5,1.24335982872956,1.2143398052749
"mmu.miR.28.000411",-0.270512532314967,0.794084650065559,5,5,0.907804047620784,0.849975394568709
"mmu.miR.29a.002112",1.3605817805415,0.210759580088433,5,5,1.40810572195216,1.477754469001
"mmu.miR.29b.000413",-2.0383524663631,0.112643583313924,5,4,0.296346341094303,0.262018309675956
"mmu.miR.29c.000587",1.68459480554892,0.13270655043108,5,5,1.35067386182178,1.40885114006903
"mmu.miR.301a.000528",1.33678952509691,0.230221140852796,5,5,1.37110482179555,1.33036838036156
"mmu.miR.301b.002600",1.05145286232348,0.324053884434369,5,5,1.27519477289946,1.27680763481524
"mmu.miR.30a.000417",0.448968083506031,0.665650325982478,5,5,1.07491486548213,1.08797377649251
"mmu.miR.30b.000602",0.12589598364734,0.902982672563083,5,5,1.02522022210805,1.01230679251484
