"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","XY_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",1.33234412864669,0.250789869259477,21,0.0952380952380952,15,15,1.86543706456917e-05,2.84427490237937,2.16256571548307
"U87.001712",-0.019603342182246,0.985025901686951,13,1,15,15,0.944782865537921,0.995449486160379,0.918390055224381
"Y1.001727",0.668135821266355,0.538274286014084,10,0.69047619047619,15,15,2.28235810116802e-05,1.5246140061007,1.13147179794803
"mmu.let.7b.000378",-0.331663604477994,0.749615671540771,10,0.69047619047619,15,15,0.200750884946453,0.917439928197213,0.873455915677674
"mmu.let.7c.000379",0.0687177226001811,0.94727702175598,9,0.547619047619048,15,15,0.0596475756931031,1.01331854151922,0.97947404052195
"mmu.let.7d.002283",-0.285595139378472,0.782704748896917,10,0.69047619047619,15,15,0.392836307093231,0.949268470889497,0.9328885911817
"mmu.let.7e.002406",0.38727520397909,0.713269154992737,11,0.841269841269841,15,15,0.122136305829049,1.16536702462897,0.982761458327696
"mmu.let.7g.002282",-0.0543069892331125,0.958093213999761,12,1,15,15,0.0864892290776189,0.98559207769406,0.960609970176261
"mmu.let.7i.002221",-0.546877808116192,0.599762984835875,12,1,15,14,0.817255701449264,0.930325256514547,0.92963836997361
"mmu.miR.100.000437",-1.85483489761404,0.136435608066242,9,0.547619047619048,13,14,0.000666778343515602,0.161788653662545,0.318389298186351
"mmu.miR.101a.002253",0.669847139782754,0.522138813230747,18,0.30952380952381,15,14,0.0670152257382776,1.15890347415536,1.16135264417218
"mmu.miR.103.000439",1.04739582233242,0.329788512148796,17,0.420634920634921,13,13,0.169115965183894,1.435979185306,1.42845351603904
"mmu.miR.106a.002459",-2.29593443631807,0.0818899720973589,6,0.222222222222222,15,15,0.00139588327513166,0.237198282050082,0.326672198311443
"mmu.miR.106b.000442",-0.945963456685623,0.383159752572782,5,0.150793650793651,15,15,0.533718358064378,0.836652071709587,0.798721095671176
"mmu.miR.10a.000387",-1.44503086862226,0.192445046296964,7,0.30952380952381,15,15,0.101542206610739,0.815855816481448,0.825522734830763
"mmu.miR.10b.002218",-1.70481465775875,0.162526708541631,8,0.420634920634921,11,14,0.000433845269627004,0.193911106713635,0.350149806766296
