"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",-0.268051952051559,0.791547851644802,126,0.452375411987305,20,20,3.9142812293591e-07,0.882738316259061,1.18785788539493
"U87.001712",-1.1866060906508,0.250008940566119,78,0.329982757568359,20,20,0.45962067766339,0.817977933651039,0.773083073241835
"Y1.001727",-1.02812245466984,0.316803835219865,74,0.261098861694336,20,20,0.304483471256199,0.775370143887235,0.617783312054428
"mmu.let.7b.000378",-0.898535820447194,0.380146161269942,83,0.43043327331543,20,20,0.957107158405823,0.868252881903486,0.798389363477639
"mmu.let.7c.000379",-0.401420609914762,0.692589505756814,98,0.812355041503906,20,20,0.909279504288963,0.954816251334906,0.890024531160285
"mmu.let.7d.002283",-0.68825582936291,0.499609411163634,92,0.647655487060547,20,20,0.969800349440944,0.902176301718803,0.895244779524165
"mmu.let.7e.002406",-0.366726288894684,0.71787550958662,95,0.728506088256836,20,20,0.568071563589868,0.907076541349961,0.805495455735419
"mmu.let.7g.002282",-0.606412303507176,0.551418407622891,98,0.812355041503906,20,20,0.628109423328946,0.903296632645405,0.825818764656581
"mmu.let.7i.002221",0.815943325669351,0.425199060920304,119,0.352458953857422,19,20,0.617587203839253,1.12788111856911,1.18027179728014
"mmu.miR.100.000437",0.0824975452518203,0.935507787775863,50,0.9031982421875,17,16,0.203077845792114,1.10560869367497,0.917420818719216
"mmu.miR.101a.002253",0.233066383789448,0.818492962954589,96,0.670524597167969,19,19,0.428427679103962,1.00370929350741,0.997594180277552
"mmu.miR.103.000439",-0.410140453610441,0.687910281875134,51,0.638671875,17,18,0.838955548151583,0.945714673429566,1.05782080051825
"mmu.miR.106a.002459",-0.131256025816628,0.896952648248839,97,0.784126281738281,20,20,0.00162903364097605,0.954209701539571,0.950396320507224
"mmu.miR.106b.000442",0.421149224153651,0.678371941363789,116,0.701181411743164,20,20,0.728903342349936,1.07239031398485,0.977095719765521
"mmu.miR.10a.000387",1.08337003358572,0.292201544845539,130,0.368276596069336,20,20,0.739612872238921,1.15222140205221,1.12669713174855
"mmu.miR.10b.002218",1.1589289931815,0.273411029421422,46,0.2783203125,12,16,0.000237708906578898,1.15263065894289,1.11304099787986
"mmu.miR.124.001182",-1.01589020196451,0.34888238728098,8,0.375,10,11,0.539709680294901,0.652563850594108,0.755265027155679
"mmu.miR.125a.5p.002198",1.74002188245691,0.0999253078438858,127,0.0736846923828125,19,19,0.448034815517126,1.58192665267468,2.23358728157037
"mmu.miR.125b.5p.000449",0.456174079997121,0.655792242275203,59,0.71484375,15,19,0.293314617409169,1.18529180210226,1.28165216178704
"mmu.miR.126.3p.002228",0.795168248213191,0.446978029429139,36,0.431640625,17,11,0.674069737126205,1.07911540534201,1.28475656029747
"mmu.miR.128a.002216",-1.26370275649184,0.295606980676448,2,0.375,10,13,0.924643790135939,1.04791800686946,0.824746487201944
"mmu.miR.130a.000454",0.668862806782887,0.514461639555024,66,0.76153564453125,17,17,0.728050762973126,1.29507076883304,1.02937136409891
"mmu.miR.130b.000456",0.341475246315611,0.736930326402548,92,0.7987060546875,20,18,0.949496056390225,1.08712788234934,1.01346119985542
"mmu.miR.139.5p.002289",2.8093457331242,0.0111933528214977,175,0.00729560852050781,20,20,0.98584507975152,1.32587314220925,1.32022159870501
"mmu.miR.140.001187",-0.345469275503165,0.734241843089785,76,1,19,18,0.517109942278312,0.968023637878252,0.879605879516959
"mmu.miR.141.000463",1.9009038600364,0.0725935094136513,151,0.0896949768066406,20,20,0.454353279817808,1.2495533235446,1.22069904354721
"mmu.miR.142.3p.000464",0.809471420077396,0.444883671278935,22,0.640625,14,11,0.314519401604518,1.47822040949518,1.14270422280819
"mmu.miR.145.002278",-1.10998947499807,0.295778954279556,20,0.4921875,12,16,0.938668495157206,0.631708515593024,0.564972624020116
"mmu.miR.146a.000468",1.68197366736376,0.108937019317778,148,0.113986968994141,20,20,0.714015375652636,1.2904185633244,1.28612329645935
"mmu.miR.146b.001097",1.29806686207265,0.209801554591342,140,0.202449798583984,20,20,0.950211950466157,1.20552558432734,1.30355183873582
