"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",0.86464831097196,0.398017292615608,133,0.311794281005859,20,20,0.259219921424033,1.02971134267513,1.03152616932976
"U87.001712",-1.56479536932109,0.134134214147293,68,0.176853179931641,20,20,0.18224315573818,1.77920192820103,Inf
"Y1.001727",-1.61415328453155,0.122979304550699,67,0.164957046508789,20,20,0.837866587162653,1.69404087678053,3.50973335649618
"mmu.let.7b.000378",-0.894655599703722,0.382165071432017,80,0.368276596069336,20,20,0.381605460160064,0.863125851156298,0.713066481643809
"mmu.let.7c.000379",-0.936527901508556,0.360753795828603,91,0.621513366699219,20,20,0.0825791291599424,0.95328850721908,0.938835506365761
"mmu.let.7d.002283",-0.725293147475245,0.477111031358764,82,0.409097671508789,20,20,0.827110481915823,0.856731126951366,0.576253291722027
"mmu.let.7e.002406",-0.591857900102609,0.560923043730954,93,0.674222946166992,20,20,0.088842314449737,0.813919523799535,0.781901217863742
"mmu.let.7g.002282",-0.866488585491602,0.397032941809739,90,0.595819473266602,20,20,0.203978114185621,0.267746748910408,1.42590964737286
"mmu.let.7i.002221",0.882602581389233,0.389086295960109,121,0.312408447265625,19,20,0.925525263815036,-1.30855191218374,Inf
"mmu.miR.100.000437",-0.241476586539614,0.812952840110395,48,0.8077392578125,17,16,0.983376874292982,1.03085985212437,NaN
"mmu.miR.101a.002253",0.124239458294547,0.902582892814909,98,0.609458923339844,19,19,0.0498250786324513,1.00220759475721,NaN
"mmu.miR.103.000439",-0.000471331017437118,0.999630582588136,53,0.7197265625,17,18,0.177971359467748,0.969892224761653,NaN
"mmu.miR.106a.002459",-0.194503955466462,0.847845921731702,109,0.898317337036133,20,20,0.240793972934408,0.983326229807592,0.983314659912198
"mmu.miR.106b.000442",-0.11178274676841,0.912168147970559,110,0.869487762451172,20,20,0.0160428941895838,0.968335740727284,1.00532601031497
