"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",3.94087786113299,0.000876981037545607,195,0.000261306762695312,20,20,0.137514319044549,2.79344183224235,2.51345475513039
"U87.001712",-2.25870772708159,0.0358525310209399,38,0.0106887817382812,20,20,0.0644245386662194,0.761393502661956,0.682081626983302
"Y1.001727",-2.13111879415763,0.0463586373758598,46,0.026641845703125,20,20,0.0147838404118322,0.670691550335422,0.386137843163764
"mmu.let.7b.000378",-1.76268500995547,0.0940325056779608,68,0.176853179931641,20,20,0.536855452937311,0.785258931007864,0.640096269964723
"mmu.let.7c.000379",-1.32345263079482,0.201390188953822,70,0.202449798583984,20,20,0.757954764280149,0.872796927441834,0.801660589546156
"mmu.let.7d.002283",-0.936002127353594,0.361017516554616,74,0.261098861694336,20,20,0.386480418845382,0.877930204000375,0.824599108597441
"mmu.let.7e.002406",-2.15513495174905,0.0441886034763102,55,0.0637226104736328,20,20,0.146173984344129,0.692222323752969,0.52602756467931
"mmu.let.7g.002282",-2.21738440033737,0.0389882588054075,50,0.0399894714355469,20,20,0.978294077276436,0.768403160103698,0.662587392040836
"mmu.let.7i.002221",-0.460103558765335,0.650951172147096,85,0.70855712890625,19,20,0.396040450149775,0.934849143386635,0.892016269023786
"mmu.miR.100.000437",-1.30029745800112,0.213123979390531,37,0.116668701171875,17,19,0.00013686392317233,0.628768380023059,0.651062060059893
"mmu.miR.101a.002253",0.86859778975285,0.396501044221938,124,0.257926940917969,19,20,0.539745720148736,1.15377244471246,1.12609137226952
"mmu.miR.103.000439",-1.14183356868901,0.270324263545317,31,0.030517578125,17,20,0.00355577676159234,0.754482156471072,0.686026444123881
"mmu.miR.106a.002459",1.28775010931995,0.213297504904339,165,0.0239505767822266,20,20,3.18586650385047e-05,1.61930840427157,1.45705830296478
"mmu.miR.106b.000442",-0.142408258489353,0.888256833761586,102,0.927278518676758,20,20,0.371476697744198,0.982176333591958,0.84731866631084
"mmu.miR.10a.000387",1.86302917074831,0.0779921500842444,154,0.069580078125,20,20,0.819461714282482,1.30032311587552,1.31134783108276
"mmu.miR.10b.002218",0.0858319260202679,0.933294243556594,24,0.46484375,12,17,0.00689452659447764,1.11013955759081,0.761486239073017
"mmu.miR.124.001182",-2.26055797306127,0.06449868675439,1,0.03125,10,16,0.0462319233242887,0.545798232431136,0.627142639321902
"mmu.miR.125a.5p.002198",1.92634794718637,0.0700018704814633,141,0.0662879943847656,19,20,0.858347213164188,1.57734818383466,1.35717291722405
"mmu.miR.125b.5p.000449",1.20918275792093,0.246617634715628,81,0.25238037109375,15,20,0.0389791551491181,1.27878899295559,1.20032908277666
"mmu.miR.126.3p.002228",1.2304851942271,0.237463524187114,94,0.19281005859375,17,17,0.876635985685918,1.44137448281238,1.43191702155995
