"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",4.62756425071509,0.000183645745459348,193,0.000394821166992188,20,20,0.726006470298763,1.18270084036049,1.1801076977668
"U87.001712",-3.01857021448028,0.00706497995832005,30,0.00365447998046875,20,20,0.28765077207836,2.86581765153667,0.860484223968354
"Y1.001727",-3.49616422631342,0.00241628704296685,32,0.00485992431640625,20,20,0.540939574800466,5.24824574142992,2.73244535470407
"mmu.let.7b.000378",-2.18580044584808,0.0415524131692435,60,0.0973072052001953,20,20,0.0114447500077869,0.760910813841776,0.666914165832408
"mmu.let.7c.000379",-1.89700261406391,0.0731339233208287,60,0.0973072052001953,20,20,0.654928705225798,0.914931553534846,0.899149487319207
"mmu.let.7d.002283",-1.41443184279816,0.17341397615852,62,0.113986968994141,20,20,0.869866534437504,0.77432442180644,0.576139523576044
"mmu.let.7e.002406",-2.62565214012538,0.016647196114761,45,0.0239505767822266,20,20,0.00157879236077658,0.595590236689394,0.682117372007854
"mmu.let.7g.002282",-2.39407669842487,0.0271371964771247,47,0.0295753479003906,20,20,0.0290382873905298,0.145308312555325,Inf
"mmu.let.7i.002221",-0.598191683972789,0.557164747651559,79,0.541217803955078,19,20,0.262794322612553,0.451200241281016,Inf
"mmu.miR.100.000437",-1.30856973960045,0.210376022457787,41,0.17535400390625,17,19,0.580265600154731,1.17516656400512,NaN
"mmu.miR.101a.002253",0.544464857121553,0.592803356486424,117,0.395462036132812,19,20,0.788563790587264,0.902040801681262,NaN
"mmu.miR.103.000439",-1.41189292448023,0.177134073179203,30,0.02667236328125,17,20,0.011488618855342,1.26279960860508,NaN
"mmu.miR.106a.002459",1.71291199298502,0.10300014963319,160,0.0399894714355469,20,20,0.105866515295958,1.14345388791074,1.16226712763463
"mmu.miR.106b.000442",-1.03836465532459,0.312135035737322,82,0.409097671508789,20,20,0.379772028997948,0.810494781038799,0.949496255957951
"mmu.miR.10a.000387",1.92257667475611,0.0696551437399853,153,0.0758514404296875,20,20,0.961982304622339,1.12974226097167,1.14107595907593
"mmu.miR.10b.002218",-0.941716778390276,0.368530460948229,24,0.46484375,12,17,0.921430367816027,1.13123984322833,NaN
"mmu.miR.124.001182",-4.22246941191964,0.00554609789410702,1,0.03125,10,16,0.315753249141338,1.13066760914948,NaN
"mmu.miR.125a.5p.002198",1.12152271751518,0.276804853968567,133,0.133621215820312,19,20,0.059717862938304,0.878083079225977,NaN
"mmu.miR.125b.5p.000449",0.252106700909316,0.804622019142913,77,0.359130859375,15,20,0.101192119021758,0.92298349792589,NaN
"mmu.miR.126.3p.002228",1.17360760062297,0.258850942925124,94,0.19281005859375,17,17,0.933484954671228,0.884893216239208,NaN
