"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",1.55943230176734,0.135395722261708,184,0.00198554992675781,20,20,3.25852092000718e-08,3.16451861303656,2.11595577723065
"U87.001712",-0.481008568925425,0.636003072550864,84,0.452375411987305,20,20,0.463434106062625,0.930824012896634,0.882287622885172
"Y1.001727",-0.713137438296863,0.484428360910854,78,0.329982757568359,20,20,0.197262653640392,0.864995325939405,0.625037671994844
"mmu.let.7b.000378",-0.835622137550465,0.413752802383436,80,0.368276596069336,20,20,0.331423400463396,0.904412697469345,0.801734465971064
"mmu.let.7c.000379",-0.961855650841617,0.348204496258382,72,0.230512619018555,20,20,0.182312794510217,0.914099363329433,0.900717408879806
"mmu.let.7d.002283",-0.209624394269798,0.836192168608472,97,0.784126281738281,20,20,0.996879303056156,0.973124878505194,0.921087871672067
"mmu.let.7e.002406",-1.24783977794908,0.227250192635452,71,0.216167449951172,20,20,0.320349159144693,0.763135515248543,0.653048457236851
"mmu.let.7g.002282",-1.11748863173291,0.277717296345108,70,0.202449798583984,20,20,0.180419950679583,0.850665365432996,0.802339956898866
"mmu.let.7i.002221",-1.14745043691389,0.265439330427586,79,0.348810195922852,20,20,0.641130826707571,0.828854325154974,0.755771908707283
"mmu.miR.100.000437",-1.0622044217555,0.306123179046359,42,0.33026123046875,16,19,0.000165861414655904,0.568707883376958,0.709665670078014
"mmu.miR.101a.002253",0.777565934257709,0.446925013958473,113,0.489967346191406,19,20,0.533767045824023,1.14950857999996,1.12880707860206
"mmu.miR.103.000439",-1.06728862304125,0.300764400913101,65,0.392738342285156,18,20,0.929193757675453,0.797790472823053,0.648528034037317
"mmu.miR.106a.002459",1.74223329062962,0.0976322023204249,175,0.00729560852050781,20,20,0.00064157794660377,1.69701523853603,1.53310600170164
"mmu.miR.106b.000442",-0.70680147275549,0.488268326147727,83,0.43043327331543,20,20,0.972062494336931,0.915875797070871,0.867180818798568
"mmu.miR.10a.000387",1.63400830658762,0.11871795491401,153,0.0758514404296875,20,20,0.475004704212452,1.12853581226623,1.16388672175605
"mmu.miR.10b.002218",-1.20492412353687,0.249709699206233,20,0.0418701171875,16,17,0.00672016875301694,0.963135544745049,0.684149317521554
"mmu.miR.124.001182",-0.536918419344799,0.60434144621165,26,0.921875,11,16,0.0678990484797456,0.836390541606357,0.83036102132746
"mmu.miR.125a.5p.002198",0.023744330201347,0.981317794946589,85,0.70855712890625,19,20,0.0721670626047688,0.997105764143816,0.607620274534272
"mmu.miR.125b.5p.000449",0.399228259310546,0.694421960647317,105,0.70855712890625,19,20,0.86729298038171,1.07888115878934,0.936548244964535
"mmu.miR.126.3p.002228",0.384998247000468,0.710272429199959,20,0.8203125,11,17,0.0231903538727712,1.33570003326526,1.11454345967956
"mmu.miR.128a.002216",-3.39497589190782,0.00943027808443294,1,0.0078125,13,15,0.0733497953848118,0.406064257562315,0.524284645474997
"mmu.miR.130a.000454",-0.118196102671644,0.907480545704402,66,0.93988037109375,17,18,0.987951392172352,1.0318137089464,1.04155130625771
"mmu.miR.130b.000456",-0.835524381968268,0.41501169108756,64,0.369216918945313,18,20,0.542798714242491,0.879123486075692,0.85628128314819
"mmu.miR.139.5p.002289",-2.20209028189044,0.0402112502872929,47,0.0295753479003906,20,20,0.74681406081678,0.794379215837975,0.801323116410532
"mmu.miR.140.001187",-0.405274056544637,0.690330676418815,66,0.4171142578125,18,20,0.00311604861408897,0.912574017398281,0.88218978594602
"mmu.miR.141.000463",-2.27744787108222,0.0345084279017439,48,0.0327682495117188,20,20,0.713283411722304,0.788150612373823,0.828930441861731
"mmu.miR.142.3p.000464",-2.19419648818774,0.0558667451278651,10,0.083984375,11,18,0.476283885749798,0.454165844968852,0.557845250616197
"mmu.miR.145.002278",-1.95566928077781,0.070762995618993,15,0.00836181640625,16,19,0.0330685778854055,0.635304074125533,0.520898453462713
"mmu.miR.146a.000468",-1.10119776707857,0.284566077990928,94,0.701181411743164,20,20,0.000954651270945993,0.889395355884914,0.910962203054354
"mmu.miR.146b.001097",0.172315891011591,0.865011419248746,103,0.956329345703125,20,20,0.437684151321298,1.02417823546935,0.970599519145329
"mmu.miR.148a.000470",0.0359847796693673,0.971669875215436,112,0.812355041503906,20,20,0.36226685330917,1.00589889794278,1.01953075844135
"mmu.miR.148b.000471",0.816584554388301,0.437804163844295,26,0.734375,15,13,0.0906439275647878,1.20547337340246,0.97405149040607
"mmu.miR.151.3p.001190",-0.472485922215338,0.644413601288435,45,0.6697998046875,16,18,0.9857836596047,0.836993238068398,0.840774322983911
"mmu.miR.152.000475",-1.46175127833351,0.16015245855285,61,0.105398178100586,20,20,0.229014305801449,0.790196035707545,0.724116510584864
"mmu.miR.155.002571",2.35967073144604,0.0297870468772033,149,0.0289306640625,20,19,0.71630941865203,1.87996867822221,2.88332482705706
"mmu.miR.15b.000390",-2.27394648877948,0.0347559748091633,53,0.0531692504882812,20,20,0.706284934891498,0.813286767350327,0.8037466369453
"mmu.miR.16.000391",0.383421973312172,0.705663409786659,107,0.956329345703125,20,20,0.12726774681947,1.03763722843135,1.09187575514538
"mmu.miR.17.002308",4.18192128745923,0.000505753032322869,194,0.000322341918945312,20,20,0.85588155587906,1.51064785166493,1.47375044711242
"mmu.miR.181a.000480",0.716444181446359,0.482431324973208,119,0.621513366699219,20,20,0.00114040656480122,1.12481016551268,1.12389799328795
"mmu.miR.181c.000482",0.634473430855425,0.533337741383423,102,0.927278518676758,20,20,0.00181494028337704,1.13727354353583,0.892970484702047
"mmu.miR.182.002599",-2.79321878621839,0.0115936185222357,40,0.0136165618896484,20,20,0.848762462964418,0.770993694356559,0.746934530978907
"mmu.miR.183.002269",0.465801425749414,0.647269892841494,106,0.392738342285156,19,19,0.0912147810104898,1.08910544863936,1.09139506384162
"mmu.miR.186.002285",1.8057541627958,0.0868262932783681,151,0.0896949768066406,20,20,0.572054386273135,1.37728832174397,1.24398751030008
"mmu.miR.188.5p.002320",1.82250555539605,0.0860166305819512,117,0.181465148925781,18,20,0.101557104395118,1.68636105773678,1.45473547807103
"mmu.miR.18a.002422",-0.256655847829622,0.800524780341551,77,0.733726501464844,19,19,0.755890897781535,0.957768026825585,1.07329035721167
"mmu.miR.191.002299",1.72499183196155,0.100758662942457,161,0.0362339019775391,20,20,5.05174045392034e-06,1.44643947929631,1.31618998644723
"mmu.miR.192.000491",-1.33423451785127,0.197899035867453,72,0.230512619018555,20,20,0.249434426666116,0.862091145526582,0.894984158178483
"mmu.miR.193b.002467",0.698168117406367,0.493529085623656,135,0.277355194091797,20,20,0.298997108170087,1.10671681197848,1.14541583307689
"mmu.miR.194.000493",-1.64277384996503,0.116876817472723,57,0.0758514404296875,20,20,0.608189216588739,0.832246791112006,0.852171023336877
"mmu.miR.195.000494",-0.920505559563944,0.368849021717387,84,0.452375411987305,20,20,0.0704425454723955,0.928106454336592,0.903387339646584
"mmu.miR.196b.002215",-1.10244316672668,0.28403818166268,69,0.189348220825195,20,20,0.223259826242407,0.867532478360534,0.817761501663003
"mmu.miR.19a.000395",0.36099488879476,0.722085985827619,89,0.570596694946289,20,20,0.0108520849865987,1.0386692382819,1.04612239214432
"mmu.miR.19b.000396",-0.500100268596538,0.622747210854643,89,0.570596694946289,20,20,0.810954768179807,0.950231479156914,0.962748483706367
"mmu.miR.200a.000502",1.75306918484426,0.0957104243779127,146,0.132726669311523,20,20,0.0246957653237828,1.12317482384556,1.12475673129409
"mmu.miR.200b.002251",-2.74534731670614,0.0128640492587587,41,0.0153121948242188,20,20,0.233953262875046,0.693061163835624,0.679600915450387
"mmu.miR.200c.002300",-1.51832416400442,0.145397214273549,60,0.0973072052001953,20,20,0.101219002031602,0.788132258492702,0.77413541249413
"mmu.miR.203.000507",-2.37606603071826,0.0281708022162998,47,0.0295753479003906,20,20,0.46701286489298,0.812788578402999,0.817363259620858
"mmu.miR.205.000509",-0.353404912555135,0.727675844696475,99,0.840822219848633,20,20,0.326344435709866,0.949338743836194,0.933490891717928
"mmu.miR.20a.000580",2.74110594189278,0.0129828093297991,170,0.0136165618896484,20,20,0.642589832539254,1.2188837122129,1.19317156442183
"mmu.miR.20b.001014",3.91382977104102,0.000932872062290955,188,0.00101661682128906,20,20,0.971243302067181,1.63187962756563,1.47259734040874
"mmu.miR.21.000397",-2.22355935493292,0.0385042166127853,47,0.0295753479003906,20,20,0.288099054500113,0.640118256239708,0.588014444779176
"mmu.miR.215.001200",-4.49277365110539,0.000249238567808224,23,0.00120925903320312,20,20,0.000219561380462081,0.474113540538553,0.456100403285554
"mmu.miR.218.000521",3.16174168640159,0.00513589002533996,179,0.00422096252441406,20,20,0.425715439968522,1.36736468279215,1.38184275069328
"mmu.miR.222.002276",0.989315855997422,0.334941092605154,129,0.388376235961914,20,20,0.115804487309781,1.11676108503341,1.05022926387315
"mmu.miR.224.002553",-0.179349674448415,0.859783414554394,77,0.733726501464844,19,19,0.80005993416215,1.00322288316522,0.921043843383332
"mmu.miR.23b.000400",-0.258435268618558,0.798849839915492,91,0.621513366699219,20,20,0.687430532233186,0.96275212073669,0.927555396262797
"mmu.miR.24.000402",-2.73587095658409,0.0131308341671109,47,0.0295753479003906,20,20,0.534809997466165,0.812241501340596,0.805170265777324
"mmu.miR.25.000403",1.87103768455326,0.0768220241311679,141,0.189348220825195,20,20,0.00191041022750267,1.43442673753501,1.26717660122432
"mmu.miR.26a.000405",-3.4432970385133,0.00272397781168817,33,0.00558090209960938,20,20,0.070957879595171,0.743082372844477,0.739772999738749
"mmu.miR.26b.000407",-1.73625927945045,0.0987058869947878,61,0.105398178100586,20,20,0.438009845651199,0.819719519486525,0.801371607341536
