"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",3.18787735230992,0.00484401464320651,186,0.00143241882324219,20,20,0.00275890001331684,1.14857513105362,1.14404048375582
"U87.001712",-0.863436966757623,0.39866609919192,85,0.474905014038086,20,20,0.824644190456946,1.61073209629124,0
"Y1.001727",-1.72109816465901,0.101476529401595,66,0.153646469116211,20,20,0.892019843203148,3.09806322466317,0.778533602744087
"mmu.let.7b.000378",-1.26062327187438,0.222706393212285,79,0.348810195922852,20,20,0.0328505943115169,0.881575743354705,0.935276279281832
"mmu.let.7c.000379",-1.05689751280247,0.303812016795355,70,0.202449798583984,20,20,0.198775766117433,0.959763541263988,0.95772846384967
"mmu.let.7d.002283",-0.625299512632389,0.539213000934087,90,0.595819473266602,20,20,0.853112878323953,0.903812640217514,0.999802572674869
"mmu.let.7e.002406",-1.68463493670466,0.108415083521944,64,0.132726669311523,20,20,0.779677122566066,0.73175568256314,0.872383053541583
"mmu.let.7g.002282",-1.2796326594401,0.216079994624293,69,0.189348220825195,20,20,0.228436738042874,0.542708037153226,Inf
"mmu.let.7i.002221",-1.48911374944354,0.152869435719434,76,0.294252395629883,20,20,0.0713768381121073,-0.344808820406707,NaN
"mmu.miR.100.000437",-1.60057651651236,0.131787515599896,33,0.1353759765625,16,19,0.936255939570352,1.13998674173154,NaN
"mmu.miR.101a.002253",0.492758502695392,0.628140247878086,109,0.594886779785156,19,20,0.860097293659935,0.900053847526259,NaN
"mmu.miR.103.000439",-1.68984167001962,0.109311498578472,61,0.303794860839844,18,20,0.0120279827677901,1.30199992985345,NaN
"mmu.miR.106a.002459",2.39337562809416,0.0271767602713419,169,0.0153121948242188,20,20,0.335569255263182,1.16284286257113,1.18198901635251
"mmu.miR.106b.000442",-1.03991455630046,0.311432817626913,76,0.294252395629883,20,20,0.661676608546786,0.836997693000636,0.944466020192268
"mmu.miR.10a.000387",2.06646713659358,0.0526896484125414,158,0.0484409332275391,20,20,0.7575668339244,1.0726431989774,1.08688372114208
"mmu.miR.10b.002218",-2.43150661592799,0.0302452764187269,18,0.029541015625,16,17,0.427192937926113,1.18282192685948,NaN
"mmu.miR.124.001182",-0.117768125761173,0.908837804373272,24,0.76953125,11,16,0.943652758318391,1.05206042024411,NaN
"mmu.miR.125a.5p.002198",-1.44513348114326,0.165605339546592,60,0.168792724609375,19,20,0.391646694458761,1.19888304233761,NaN
"mmu.miR.125b.5p.000449",-0.150828195770829,0.881788660320962,97,0.952983856201172,19,20,0.611239240262105,1.02764992227229,NaN
"mmu.miR.126.3p.002228",-0.153683710762343,0.881665132603165,20,0.8203125,11,17,0.987543085066326,0.965230504250553,NaN
"mmu.miR.128a.002216",-4.88339926497305,0.00121909983053136,1,0.0078125,13,15,0.868136471369164,1.23152556533226,NaN
"mmu.miR.130a.000454",-0.114236199055357,0.910565612163325,64,0.860260009765625,17,18,0.348239939869313,0.984837154851128,NaN
"mmu.miR.130b.000456",-0.63403218336932,0.534498954806249,64,0.369216918945313,18,20,0.0809402737719004,1.10483151624141,NaN
"mmu.miR.139.5p.002289",-2.05373594508296,0.054024794742358,49,0.0362339019775391,20,20,0.37394397995368,0.838755881484004,0.836828366908733
"mmu.miR.140.001187",-0.64645357017218,0.526617671282136,60,0.283729553222656,18,20,0.00519265159617095,1.1800791119633,NaN
"mmu.miR.141.000463",-1.37603840727369,0.18481373530556,59,0.0896949768066406,20,20,0.15541036858124,0.781241999772953,0.711404500848635
"mmu.miR.142.3p.000464",-2.34601295160195,0.0435888487896813,9,0.064453125,11,18,0.345264181852524,1.24096545509277,NaN
"mmu.miR.145.002278",-2.67616559301526,0.0180806214549144,10,0.00262451171875,16,19,0.105465935680918,1.23666114237569,NaN
"mmu.miR.146a.000468",-0.908443182014335,0.375023472950465,94,0.701181411743164,20,20,0.0707264121086004,0.689457430414705,0
"mmu.miR.146b.001097",-0.170580426086565,0.866357063918256,92,0.647655487060547,20,20,0.0415260748974355,1.04069165620157,NaN
"mmu.miR.148a.000470",0.110795095999541,0.912940831463852,118,0.647655487060547,20,20,0.251138854956154,1.02298962692066,1.1565248296012
"mmu.miR.148b.000471",-0.207674892196168,0.840672029030899,24,0.91015625,15,13,0.250992958540627,1.00669475762406,NaN
"mmu.miR.151.3p.001190",-0.43366499503612,0.671641327678779,46,0.71484375,16,18,0.7459534273892,1.07445826145904,NaN
"mmu.miR.152.000475",-1.84721527027117,0.0803488171030168,61,0.105398178100586,20,20,0.391594269657899,1.37042602382407,NaN
"mmu.miR.155.002571",3.03979191736842,0.00704759033742909,162,0.00532913208007812,20,19,0.710520011981252,0.676433415413278,NaN
